Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous position kind,Previous URL,Current position kind,Current URL,Previous date,Current date
valentine's day flowers melbourne,AU,Australia,English,"Valentine's Day (Event), Melbourne (Location)",false,true,false,false,true,true,"Sitelinks, Thumbnail, Shopping",350,2,,32,130,98,,2,1,1,,https://www.lvly.com.au/collections/valentines-day,,https://www.lvly.com.au/collections/valentines-day,2025-10-28 12:35:28,2026-04-15 22:30:23
cheap flower delivery brisbane,AU,Australia,English,Brisbane (Location),false,true,false,true,true,true,"Local teaser, Shopping, Thumbnail",200,33,0.73,45,129,84,,3,2,1,,https://www.lvly.com.au/collections/flower-delivery-brisbane,,https://www.lvly.com.au/collections/flower-delivery-brisbane,2026-01-17 09:35:02,2026-04-05 20:46:35
same day flower delivery brisbane,AU,Australia,English,Brisbane (Location),false,true,false,false,true,true,"Local teaser, Sitelinks, People also ask",600,20,2.47,22,125,103,,12,5,7,,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/flower-delivery-brisbane,2025-12-30 17:12:34,2026-04-11 21:27:54
birthday gift delivery,AU,Australia,English,,false,false,false,false,true,true,"Thumbnail, Sitelinks, Shopping, People also ask",250,9,0.85,7,118,111,,5,1,4,,https://www.lvly.com.au/collections/birthday,,https://www.lvly.com.au/collections/birthday,2025-12-14 17:54:27,2026-04-14 19:56:17
same day flower delivery sydney,AU,Australia,English,Sydney (Location),false,true,false,false,true,true,"Thumbnail, Sitelinks, Shopping, Discussions and forums, Video preview",1100,68,2.71,60,116,56,,9,5,4,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2025-12-30 14:51:25,2026-04-26 09:01:05
perth flower delivery,AU,Australia,English,Perth (Location),false,true,false,true,true,true,"Sitelinks, Thumbnail",800,36,2.00,89,113,24,,6,4,2,,https://www.lvly.com.au/collections/flower-delivery-perth,,https://www.lvly.com.au/collections/flower-delivery-perth,2026-01-16 23:40:45,2026-04-14 00:30:21
lvly sydney,AU,Australia,English,"LVLY (Organization), Sydney (Location)",true,true,false,true,true,false,"Sitelinks, Knowledge panel",150,3,2.40,107,111,4,,1,1,,,https://www.lvly.com.au/collections/flower-delivery-sydney,,https://www.lvly.com.au/collections/flower-delivery-sydney,2026-01-13 02:33:28,2026-03-29 03:17:33
gold coast flowers,AU,Australia,English,Gold Coast (Location),false,true,false,true,true,false,Sitelinks,400,32,1.29,,111,,,,2,New,,,,https://www.lvly.com.au/collections/gold-coast,,2026-04-21 02:49:22
same day flower delivery melbourne,AU,Australia,English,Melbourne (Location),false,true,false,false,true,true,"Local teaser, Sitelinks, Video preview",1200,62,2.40,54,99,45,,8,6,2,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-18 00:52:22,2026-04-13 06:18:42
flowers delivery perth,AU,Australia,English,Perth (Location),false,true,false,false,true,true,"Thumbnail, Sitelinks",1100,34,2.00,198,96,-101,,3,6,-3,,https://www.lvly.com.au/collections/flower-delivery-perth,,https://www.lvly.com.au/collections/flower-delivery-perth,2026-01-19 14:38:26,2026-04-16 14:14:35
send flowers sydney,AU,Australia,English,Sydney (Location),false,true,false,false,true,true,"Top ads, Paid sitelinks, Shopping Ads, Thumbnail, Knowledge panel, Sitelinks, Shopping, Bottom ads, Video preview",800,67,1.55,47,93,46,31,8,3,5,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-29 13:46:29,2026-04-19 23:53:34
send flowers brisbane,AU,Australia,English,Brisbane (Location),false,true,false,false,true,true,"Local teaser, Sitelinks, People also ask",400,33,1.60,60,90,29,,4,3,1,,https://www.lvly.com.au/collections/flower-delivery-brisbane,,https://www.lvly.com.au/collections/flower-delivery-brisbane,2025-12-24 09:10:16,2026-04-12 16:43:29
flowers brisbane delivery,AU,Australia,English,Brisbane (Location),false,true,false,true,true,true,"Shopping, Thumbnail",250,43,2.02,20,84,64,,4,1,3,,https://www.lvly.com.au/collections/flower-delivery-brisbane,,https://www.lvly.com.au/collections/flower-delivery-brisbane,2025-12-24 04:43:47,2026-04-16 22:02:54
lvly hampers,AU,Australia,English,LVLY (Organization),true,false,false,true,true,true,"Sitelinks, Shopping, Thumbnail, People also ask",100,0,1.71,64,80,16,,1,1,,,https://www.lvly.com.au/collections/gift-hampers,,https://www.lvly.com.au/collections/gift-hampers,2026-01-26 13:21:11,2026-04-14 15:36:54
polaroid photo,AU,Australia,English,Polaroid (Organization),true,false,false,true,true,true,"Thumbnail, People also ask, Sitelinks, Shopping, Video preview",700,2,0.51,79,,,,1,,Lost,,https://www.lvly.com.au/products/instax-polaroid-photo,,,2026-01-20 10:05:05,
lvy,AU,Australia,,Lvy (Product),true,false,false,true,false,false,"Sitelinks, People also ask, Thumbnail",80,0,1.14,78,,,,1,,Lost,,https://www.lvly.com.au/,,,2026-01-01 11:15:14,
same day flower delivery gold coast,AU,Australia,English,Gold Coast (Location),false,true,false,false,true,true,"Local teaser, Sitelinks",200,12,2.53,9,78,69,,8,2,6,,https://www.lvly.com.au/collections/gold-coast,,https://www.lvly.com.au/collections/gold-coast,2025-12-22 13:39:38,2026-04-10 18:08:10
bereavement flowers,AU,Australia,English,,false,false,false,true,true,true,"Sitelinks, Shopping, Thumbnail, People also ask",500,2,1.35,51,78,27,,3,2,1,,https://www.lvly.com.au/collections/sympathy-flowers,,https://www.lvly.com.au/collections/sympathy-flowers,2026-01-19 23:33:32,2026-03-03 20:02:31
flowers delivered brisbane,AU,Australia,English,Brisbane (Location),false,true,false,false,true,true,"Top ads, Paid sitelinks, Thumbnail, Shopping",450,20,2.02,80,77,-3,,4,2,2,,https://www.lvly.com.au/collections/flower-delivery-brisbane,,https://www.lvly.com.au/collections/flower-delivery-brisbane,2025-12-30 05:12:03,2026-04-20 19:49:28
flowers delivery brisbane,AU,Australia,English,Brisbane (Location),false,true,false,false,true,true,"Sitelinks, Thumbnail, Shopping, Discussions and forums, Bottom ads",700,24,2.02,51,77,26,153,5,2,3,,https://www.lvly.com.au/collections/flower-delivery-brisbane,,https://www.lvly.com.au/collections/flower-delivery-brisbane,2025-12-30 23:15:29,2026-04-27 11:06:09
send flowers,AU,Australia,English,,false,false,false,false,true,true,"Thumbnail, Sitelinks, Shopping, Bottom ads, Paid sitelinks, Video preview",1600,55,1.43,161,77,-84,,5,4,1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-24 01:48:53,2026-04-20 03:13:40
lvly adelaide,AU,Australia,English,"lvly (Organization), Adelaide (Location)",true,true,false,true,true,false,"People also ask, Video preview",100,1,1.81,68,76,8,,1,1,,,https://www.lvly.com.au/collections/flower-delivery-adelaide,,https://www.lvly.com.au/collections/flower-delivery-adelaide,2026-01-27 06:21:17,2026-04-15 13:16:06
birthday gifts,AU,Australia,English,,false,false,false,true,true,true,"Sitelinks, Shopping, Thumbnail, People also ask, Video preview",2900,6,0.50,73,,,,8,,Lost,,https://www.lvly.com.au/collections/birthday,,,2026-01-26 10:45:26,
flower deliveries,AU,Australia,English,,false,false,false,false,true,true,"Local teaser, Sitelinks",300,67,1.70,30,73,43,,2,2,,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-10 19:08:14,2026-03-26 07:55:32
best flower delivery brisbane,AU,Australia,English,Brisbane (Location),false,true,false,true,true,false,"Local teaser, Sitelinks, Shopping, Thumbnail",200,25,1.20,17,72,55,,4,2,2,,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/flower-delivery-brisbane,2025-12-17 20:45:25,2026-04-06 05:33:28
best flower delivery perth,AU,Australia,English,Perth (Location),false,true,false,true,true,false,"Local teaser, People also ask, Shopping, Thumbnail",200,28,1.16,75,72,-3,,2,2,,,https://www.lvly.com.au/collections/flower-delivery-perth,,https://www.lvly.com.au/collections/flower-delivery-perth,2026-01-17 12:09:55,2026-03-30 03:37:28
order flowers,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, Shopping, Thumbnail, People also ask",600,67,1.65,62,71,9,,5,3,2,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-23 01:39:58,2026-04-24 13:09:30
birthday flowers delivery,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, Local teaser, Thumbnail, Shopping, Video preview",450,4,1.22,60,71,11,,2,2,,AI Overview,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/birthday,2025-12-28 09:52:43,2026-03-09 02:02:17
lvly flowers sydney,AU,Australia,English,"LVLY Flowers (Organization), Sydney (Location)",true,true,false,true,true,true,"Top ads, Knowledge panel",150,3,2.69,96,70,-26,24,1,2,-1,,https://www.lvly.com.au/collections/flower-delivery-sydney,,https://www.lvly.com.au/collections/flower-delivery-sydney,2026-01-23 05:39:22,2026-04-10 03:24:28
flowers delivery adelaide,AU,Australia,English,Adelaide (Location),false,true,false,true,true,true,"Sitelinks, People also ask",350,35,1.60,14,70,56,,10,3,7,,https://www.lvly.com.au/collections/flower-delivery-adelaide,,https://www.lvly.com.au/collections/flower-delivery-adelaide,2026-01-02 14:22:26,2026-04-26 10:57:17
lvly melbourne,AU,Australia,English,"LVLY (Organization), Melbourne (Location)",true,true,false,true,true,false,"Top ads, Knowledge panel, People also ask",200,3,1.19,136,70,-66,14,1,2,-1,,https://www.lvly.com.au/collections/flower-delivery-melbourne,,https://www.lvly.com.au/collections/flower-delivery-melbourne,2026-01-24 03:05:08,2026-04-22 02:04:23
lvly perth,AU,Australia,English,"Lvly (Organization), Perth (Location)",true,true,false,true,true,false,"Top ads, Knowledge panel, People also ask, Bottom ads",100,2,0.69,73,69,-4,8,1,1,,,https://www.lvly.com.au/collections/flower-delivery-perth,,https://www.lvly.com.au/collections/flower-delivery-perth,2026-01-28 10:34:42,2026-04-02 03:10:53
native flowers sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,"Local teaser, Shopping, Thumbnail, People also ask",200,0,1.13,9,69,60,,8,2,6,,https://www.lvly.com.au/collections/native-flowers,,https://www.lvly.com.au/collections/native-flowers,2026-01-11 17:27:02,2026-03-27 03:38:48
delivery of flowers,AU,Australia,English,,false,false,false,false,true,true,"Local teaser, Sitelinks",200,68,1.17,7,68,61,,9,2,7,,https://www.lvly.com.au/collections/wollongong,,https://www.lvly.com.au/,2025-12-24 17:24:31,2026-04-04 10:26:59
brisbane florist delivery,AU,Australia,English,Brisbane (Location),false,true,false,true,true,false,"Local teaser, Sitelinks",150,27,2.02,2,68,66,28,14,2,12,,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/flower-delivery-brisbane,2025-12-28 03:05:57,2026-04-13 13:46:36
flower shops,AU,Australia,English,,false,false,false,true,true,true,"Local teaser, People also ask, Thumbnail, Sitelinks",1100,67,0.65,67,,,,3,,Lost,,https://www.lvly.com.au/,,,2025-12-28 22:12:03,
flowers and champagne delivery sydney,AU,Australia,English,Sydney (Location),false,true,false,false,true,true,"Top ads, Sitelinks, Shopping, Thumbnail",200,0,1.97,2,65,63,5,8,1,7,,https://www.lvly.com.au/collections/champagne-and-flowers,,https://www.lvly.com.au/collections/champagne-and-flowers,2025-12-23 08:08:04,2026-04-21 00:43:52
anniversary presents,AU,Australia,English,,false,false,false,true,true,false,"Sitelinks, Thumbnail, People also ask, Discussions and forums, Shopping, Video preview",500,1,0.61,63,,,,2,,Lost,,https://www.lvly.com.au/collections/anniversary,,,2026-01-19 07:26:08,
champagne and flower delivery,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, Local teaser, Shopping, Thumbnail",150,0,1.60,25,63,37,,2,1,1,AI Overview,https://www.lvly.com.au/collections/champagne-and-flowers,,https://www.lvly.com.au/collections/champagne-and-flowers,2026-01-23 19:11:53,2026-04-11 12:28:17
lvly flowers melbourne,AU,Australia,English,"LVLY (Organization), Melbourne (Location)",true,true,false,true,true,true,"People also ask, Knowledge panel",100,4,2.72,90,63,-28,,1,1,,,https://www.lvly.com.au/collections/flower-delivery-melbourne,,https://www.lvly.com.au/collections/flower-delivery-melbourne,2026-01-28 12:59:55,2026-04-17 22:37:17
next day flower delivery,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, Shopping, Thumbnail, Local teaser",150,67,2.22,25,62,37,,2,1,1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-04 16:15:41,2026-04-05 08:45:48
same day delivery flowers perth,AU,Australia,English,Perth (Location),false,true,false,false,true,true,"Local teaser, Sitelinks",150,27,2.73,7,62,54,,8,2,6,,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/flower-delivery-perth,2026-01-12 19:11:25,2026-03-28 17:21:31
central coast flower delivery,AU,Australia,English,Central Coast (Location),false,true,false,true,true,true,,150,22,1.79,22,61,39,,3,1,2,,https://www.lvly.com.au/collections/central-coast-nsw,,https://www.lvly.com.au/collections/central-coast-nsw,2026-01-07 14:07:33,2026-04-23 11:13:53
deliver flowers to melbourne,AU,Australia,English,Melbourne (Location),false,true,false,false,true,true,"Local teaser, Sitelinks",150,59,,33,60,27,,4,2,2,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2025-12-19 15:19:33,2026-04-07 11:50:29
gifts delivery,AU,Australia,English,,false,false,false,true,true,true,"AI Overview, Sitelinks, Thumbnail, Shopping",150,62,0.42,,60,,,,1,New,,,,https://www.lvly.com.au/collections/shop-all,,2026-04-28 11:57:20
native flower delivery,AU,Australia,English,,false,false,false,false,true,true,"Thumbnail, Sitelinks, Shopping, Local teaser",150,0,1.34,5,59,54,,10,1,9,,https://www.lvly.com.au/collections/native-flowers,,https://www.lvly.com.au/collections/native-flowers,2026-01-12 20:18:28,2026-04-11 07:39:27
lvly brisbane,AU,Australia,English,"LVLY (Organization), Brisbane (Location)",true,true,false,true,true,false,"Top ads, Knowledge panel, People also ask",90,2,2.03,67,59,-8,9,1,1,,,https://www.lvly.com.au/collections/flower-delivery-brisbane,,https://www.lvly.com.au/collections/flower-delivery-brisbane,2026-01-23 20:25:55,2026-04-10 15:09:52
flowers same day delivery,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, Shopping, Thumbnail, Knowledge panel, Video preview",450,53,2.39,162,58,-104,,1,2,-1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-22 02:30:11,2026-04-25 14:23:28
australian florist,AU,Australia,English,,false,false,false,true,true,false,"Local teaser, Sitelinks",150,66,0.90,57,57,0,,1,2,-1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-03 22:12:03,2026-04-04 10:38:28
anniversary gifts for couples australia,AU,Australia,English,Australia (Location),false,true,false,true,true,true,"Sitelinks, Shopping, Thumbnail, People also ask",150,2,0.58,,56,,,,1,New,,,,https://www.lvly.com.au/collections/anniversary,,2026-04-08 08:09:53
flower same day delivery,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, Local teaser",150,69,2.45,13,55,42,,5,1,4,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-08 07:52:53,2026-04-10 21:18:53
flower delivery perth same day,AU,Australia,English,Perth (Location),false,true,false,false,true,true,"Local teaser, Sitelinks",150,28,2.10,10,54,44,6,6,2,4,,https://www.lvly.com.au/collections/flower-delivery-perth,,https://www.lvly.com.au/collections/flower-delivery-perth,2026-01-22 17:51:57,2026-04-09 12:19:17
flower delivery perth australia,AU,Australia,English,"Perth (Location), Australia (Location)",false,true,false,true,true,true,"Top ads, Thumbnail, Sitelinks",150,36,1.91,,54,,3,,1,New,,,,https://www.lvly.com.au/collections/flower-delivery-perth,,2026-04-23 14:04:27
flower delivery central coast,AU,Australia,English,Central Coast (Location),false,true,false,true,true,true,"Local teaser, Sitelinks",600,25,1.63,26,53,27,,8,7,1,,https://www.lvly.com.au/collections/central-coast-nsw,,https://www.lvly.com.au/collections/central-coast-nsw,2025-12-24 17:38:20,2026-04-13 11:20:48
kids hamper,AU,Australia,English,,false,false,false,true,true,true,"Sitelinks, Shopping, Thumbnail",400,0,,0,53,53,,58,2,56,,https://www.lvly.com.au/collections/childrens-gift-hampers-baskets,,https://www.lvly.com.au/collections/childrens-gift-hampers-baskets,2025-12-20 02:57:30,2026-04-10 15:06:29
online flower delivery,AU,Australia,English,,false,false,false,true,true,true,"Sitelinks, AI Overview, Thumbnail, Shopping",400,67,1.06,45,52,8,,3,4,-1,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2026-01-14 10:48:01,2026-04-22 23:06:16
birthday flower delivery,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, AI Overview, Thumbnail, Shopping",450,31,1.17,45,51,6,,3,3,,,https://www.lvly.com.au/collections/birthday,,https://www.lvly.com.au/,2025-12-22 12:23:33,2026-04-15 01:17:18
lvly flowers brisbane,AU,Australia,English,"LVLY Flowers (Organization), Brisbane (Location)",true,true,false,true,true,false,"People also ask, Knowledge panel",70,2,2.59,29,50,21,,2,1,1,,https://www.lvly.com.au/collections/flower-delivery-brisbane,,https://www.lvly.com.au/collections/flower-delivery-brisbane,2026-01-12 21:30:53,2026-03-29 01:08:48
flowers in perth,AU,Australia,English,Perth (Location),false,true,false,true,true,true,"Sitelinks, People also ask, Bottom ads",150,20,1.29,21,50,29,,3,1,2,,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/flower-delivery-perth,2026-01-29 17:48:15,2026-04-20 00:33:55
florist sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,true,"Sitelinks, Thumbnail, Discussions and forums, Video preview",1800,57,1.58,1,50,48,,27,9,18,,https://www.lvly.com.au/,,https://www.lvly.com.au/,2025-12-29 09:54:59,2026-04-25 17:56:50
lvly reviews,AU,Australia,English,LVLY (Organization),true,false,false,true,true,false,"Discussions and forums, People also ask",100,0,5.76,45,50,4,,1,1,,,https://www.lvly.com.au/pages/reviews,,https://www.lvly.com.au/pages/reviews,2026-01-16 04:20:53,2026-04-11 00:40:08
flowers melbourne delivery,AU,Australia,English,Melbourne (Location),false,true,false,false,true,true,"Sitelinks, Shopping, Thumbnail",350,46,1.92,34,49,15,,4,2,2,,https://www.lvly.com.au/,,https://www.lvly.com.au/collections/flower-delivery-melbourne,2025-12-27 19:06:34,2026-04-21 03:14:17
same day delivery gifts,AU,Australia,English,,false,false,false,false,true,true,"AI Overview, Sitelinks, Thumbnail, Shopping",450,2,0.89,164,49,-115,,1,6,-5,,https://www.lvly.com.au/collections/shop-all,,https://www.lvly.com.au/collections/shop-all,2026-01-06 20:53:34,2026-04-15 19:41:42
flower shops near me,AU,Australia,English,,false,true,false,true,true,true,"People also ask, Sitelinks",1200,51,0.48,,49,,,,4,New,,,,https://www.lvly.com.au/,,2026-04-14 13:22:49
gold coast flower delivery,AU,Australia,English,Gold Coast (Location),false,true,false,true,true,true,"Local teaser, Sitelinks",450,25,1.96,17,49,32,,10,6,4,,https://www.lvly.com.au/collections/gold-coast,,https://www.lvly.com.au/collections/gold-coast,2025-12-21 16:24:55,2026-04-13 02:19:47
feeling floral,AU,Australia,English,Feeling Floral (Organization),true,false,false,true,true,false,"Shopping Ads, Thumbnail, Sitelinks, Knowledge panel, Video preview",600,11,0.80,48,,,,5,,Lost,,https://www.lvly.com.au/,,,2026-01-23 01:55:20,
flower delivery burleigh heads,AU,Australia,English,Burleigh Heads (Location),false,true,false,true,true,true,Knowledge panel,150,0,2.15,43,48,5,3,2,1,1,,https://www.lvly.com.au/collections/flower-delivery-burleigh-heads-queensland,,https://www.lvly.com.au/collections/flower-delivery-burleigh-heads-queensland,2026-01-06 09:31:49,2026-04-21 13:00:32
gifts delivered,AU,Australia,English,,false,false,false,false,true,true,"Sitelinks, Shopping, Thumbnail",150,42,0.98,38,48,10,,2,1,1,,https://www.lvly.com.au/collections/shop-all,,https://www.lvly.com.au/collections/shop-all,2026-01-20 21:51:18,2026-03-28 13:27:35
