Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current position kind,Current URL,Updated
airasia,IN,India,,AirAsia (Organization),true,false,true,true,true,true,"Sitelinks, Top stories, Thumbnail, People also ask, Video preview",22000,79,0.03,20826,0,1,,https://www.airasia.com/en/gb,2026-04-24 09:55:44
air asia,ID,Indonesia,English,AirAsia (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Thumbnail, Video preview",22000,12,0.05,20471,0,1,,https://www.airasia.com/id/id,2026-04-22 00:36:45
air asia booking,PH,Philippines,English,AirAsia (Organization),true,false,true,false,true,true,"Video preview, Thumbnail",18000,69,0.04,19193,0,1,,https://www.airasia.com/flights/,2026-04-23 16:55:01
air asia,SG,Singapore,,AirAsia (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Thumbnail, Video preview",17000,77,0.13,17522,13407,1,,https://www.airasia.com/en/gb,2026-04-19 20:00:36
air asia india,IN,India,English,"AirAsia (Organization), India (Location)",true,false,false,true,true,false,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",19000,12,0.03,16761,16651,1,AI Overview,https://www.airasia.com/flights/india/,2026-04-22 13:30:41
airasia,VN,Vietnam,Vietnamese,AirAsia (Organization),true,false,true,true,true,true,"Sitelinks, Thumbnail, Video preview",14000,12,0.13,14688,0,1,,https://www.airasia.com/vi/vn,2026-04-21 13:24:36
airasia philippines,PH,Philippines,English,"AirAsia Philippines (Organization), Philippines (Location)",true,false,false,true,true,false,"Thumbnail, Video preview",15000,27,0.06,14155,0,1,,https://www.airasia.com/flights/philippines/,2026-04-19 18:22:08
airasia booking,PH,Philippines,English,AirAsia (Organization),true,false,true,false,true,true,"Video preview, Thumbnail",13000,63,0.05,13385,0,1,,https://www.airasia.com/flights/,2026-04-26 21:49:36
airasia malaysia,MY,Malaysia,English,"AirAsia (Organization), Malaysia (Location)",true,false,false,true,true,false,"Sitelinks, Thumbnail, Video preview",13000,76,0.05,13284,0,1,,https://www.airasia.com/en/gb,2026-04-26 23:33:33
จองตั๋วเครื่องบินแอร์เอเชีย,TH,Thailand,Thai,AirAsia (Organization),true,false,false,false,true,true,"Sitelinks, Video preview, Thumbnail",9800,1,0.17,12424,0,1,,https://www.airasia.com/th/th,2026-04-23 21:59:22
airasia,JP,Japan,Japanese,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Thumbnail, Video preview",12000,8,0.15,11651,0,1,,https://www.airasia.com/ja/jp,2026-04-26 21:11:42
air asia philippines,PH,Philippines,English,"AirAsia (Organization), Philippines (Location)",true,false,false,true,true,false,"Thumbnail, People also ask",11000,61,0.06,10640,0,1,,https://www.airasia.com/flights/philippines/,2026-04-27 00:52:07
air asia check in,MY,Malaysia,English,AirAsia (Organization),true,false,true,false,false,true,"People also ask, Video preview",9700,49,0.01,10475,0,1,,https://www.airasia.com/check-in/en/gb,2026-04-22 14:32:23
airasia,US,United States,,AirAsia (Organization),true,false,true,true,true,true,"Sitelinks, Top stories, Thumbnail, Video preview, People also ask",10000,73,0.28,9258,0,1,,https://www.airasia.com/en/gb,2026-04-25 03:44:35
air asia web check in,IN,India,English,AirAsia (Organization),true,false,true,false,false,true,"Sitelinks, Video preview",8400,0,0.01,9228,0,1,,https://www.airasia.com/check-in/en/gb,2026-04-21 17:51:35
air asia,US,United States,English,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, Top stories, Thumbnail, People also ask, Video preview",9600,78,0.04,8759,0,1,,https://www.airasia.com/en/gb,2026-04-25 19:56:54
air asia,GB,United Kingdom,English,AirAsia (Organization),true,false,true,true,true,false,"Sitelinks, People also ask, Thumbnail, Video preview",8400,76,0.48,8587,0,1,,https://www.airasia.com/en/gb,2026-04-20 23:52:25
air asia booking,MY,Malaysia,English,AirAsia (Organization),true,false,false,false,false,true,Video preview,7600,71,0.03,8150,0,1,,https://www.airasia.com/flights/,2026-04-15 00:10:47
thai airasia,TH,Thailand,English,Thai AirAsia (Organization),true,false,true,true,true,true,"Sitelinks, People also ask",8300,5,0.12,7881,0,1,,https://www.airasia.com/th/th,2026-04-26 23:19:22
airasia booking,MY,Malaysia,English,AirAsia (Organization),true,false,false,false,false,true,Video preview,7200,73,0.05,7823,0,1,,https://www.airasia.com/flights/,2026-04-27 03:05:04
เช็คอินแอร์เอเชีย,TH,Thailand,Thai,AirAsia (Organization),true,false,true,false,false,true,"Sitelinks, Video preview, Thumbnail",7000,5,0.01,7690,0,1,,https://www.airasia.com/check-in/th/th,2026-04-25 01:38:29
亞洲航空,TW,Taiwan,Chinese,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Bottom ads, Thumbnail, Video preview",13000,4,0.09,7138,6037,1,,https://www.airasia.com/zh/tw,2026-04-21 19:15:11
泰國亞洲航空,TW,Taiwan,Chinese,Thai AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Video preview",7200,1,0.09,7079,3252,1,,https://www.airasia.com/zh/tw,2026-04-15 22:04:17
air asia ticket,MY,Malaysia,English,AirAsia (Organization),true,false,false,false,true,true,,7900,71,0.03,6779,0,1,,https://www.airasia.com/flights/,2026-04-15 06:34:30
air asia,FR,France,,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Video preview, Thumbnail",6200,3,0.48,6589,0,1,,https://www.airasia.com/en/gb,2026-04-26 23:10:05
airasia.ph,PH,Philippines,,AirAsia Philippines (Organization),true,false,true,true,true,false,"Sitelinks, People also ask, Thumbnail",6300,62,0.06,6483,0,1,,https://www.airasia.com/flights/philippines/,2026-04-23 23:14:02
air asia indonesia,ID,Indonesia,English,"AirAsia (Organization), Indonesia (Location)",true,false,false,true,true,false,"Sitelinks, People also ask, Thumbnail, Video preview",6800,7,0.07,6353,2768,1,,https://www.airasia.com/id/id,2026-04-23 13:00:45
airasia,TW,Taiwan,,AirAsia (Organization),true,false,false,true,true,false,"Top ads, Sitelinks, Top stories, Thumbnail, People also ask, Video preview",11000,4,0.07,6261,9312,1,,https://www.airasia.com/zh/tw,2026-04-24 09:52:36
airasia,BN,Brunei Darussalam,,AirAsia (Organization),true,false,true,true,true,true,"Top ads, Sitelinks, Bottom ads, Paid sitelinks, Thumbnail, Video preview",8900,77,0.03,6036,0,1,,https://www.airasia.com/en/gb,2026-02-05 00:07:54
air,MY,Malaysia,English,,false,false,false,true,false,false,"Video preview, Thumbnail",13000,89,0.06,5910,0,1,,https://www.airasia.com/en/gb,2026-04-26 23:35:25
air asia thailand,TH,Thailand,English,"AirAsia (Organization), Thailand (Location)",true,false,false,true,false,false,"Sitelinks, People also ask, Video preview",5900,5,0.13,5885,3031,1,,https://www.airasia.com/th/th,2026-04-24 04:04:34
airasia ticket,MY,Malaysia,English,AirAsia (Organization),true,false,false,false,true,true,Video preview,6800,65,0.02,5856,0,1,,https://www.airasia.com/flights/,2026-04-18 23:08:01
จองตั๋วแอร์เอเชีย,TH,Thailand,Thai,AirAsia (Organization),true,false,false,false,true,true,"Top ads, Paid sitelinks, Sitelinks, Video preview",7800,1,0.18,5830,1615,1,,https://www.airasia.com/th/th,2026-04-19 07:27:25
air asia,JP,Japan,Japanese,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Thumbnail, Video preview",5800,0,0.14,5583,2507,1,,https://www.airasia.com/ja/jp,2026-04-25 17:15:15
airasia,HK,Hong Kong,,AirAsia (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Video preview",5300,75,0.26,5355,0,1,,https://www.airasia.com/en/gb,2026-04-22 00:22:21
air asia,AE,United Arab Emirates,,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Video preview, Thumbnail",5400,76,0.57,5331,0,1,,https://www.airasia.com/en/gb,2026-04-19 08:00:22
airasia login,MY,Malaysia,English,AirAsia (Organization),true,false,true,false,false,false,"Sitelinks, Video preview",5300,70,0.04,5249,0,1,,https://www.airasia.com/account/,2026-04-27 01:58:38
air asia flights,AU,Australia,English,AirAsia (Organization),true,false,false,true,true,false,"People also ask, Top stories, Thumbnail, Video preview",5300,30,0.16,5056,1137,1,,https://www.airasia.com/flights/,2026-04-24 23:34:57
thai airasia,IN,India,English,Thai AirAsia (Organization),true,false,false,true,true,false,"People also ask, Video preview, Thumbnail",6200,58,0.04,4993,0,1,,https://www.airasia.com/flights/thailand/,2026-04-26 09:29:21
air asia flights,PH,Philippines,English,AirAsia (Organization),true,false,false,true,true,false,,5400,62,0.03,4969,0,1,,https://www.airasia.com/flights/,2026-04-22 04:31:17
airasia web check in,IN,India,English,AirAsia (Organization),true,false,true,false,false,true,"Sitelinks, People also ask, Video preview",4800,65,0.01,4783,0,1,,https://www.airasia.com/check-in/en/gb,2026-04-23 19:29:57
air asia flight status,MY,Malaysia,English,AirAsia (Organization),true,false,false,true,false,false,Video preview,5000,1,0.01,4776,0,1,,https://www.airasia.com/flightstatus/en/gb,2026-04-26 11:00:35
airasia,GB,United Kingdom,,AirAsia (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Thumbnail, Video preview",4800,76,0.45,4667,0,1,,https://www.airasia.com/en/gb,2026-04-23 07:46:02
tiket air asia,MY,Malaysia,Indonesian,AirAsia (Organization),true,false,false,true,true,false,Video preview,6200,4,0.03,4522,0,1,,https://www.airasia.com/ms/my,2026-04-24 09:19:23
ตั๋วเครื่องบิน,TH,Thailand,Thai,,false,false,false,false,true,true,"Thumbnail, Video preview",200000,74,0.14,4480,0,6,,https://www.airasia.com/flights/th/th/,2026-04-25 16:21:30
air asia,CA,Canada,English,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Thumbnail, Video preview",4200,72,0.12,4365,0,1,,https://www.airasia.com/en/gb,2026-04-22 15:09:49
airasia check in,TH,Thailand,English,AirAsia (Organization),true,false,true,false,false,true,"Sitelinks, Video preview",4300,4,0.02,4326,0,1,,https://www.airasia.com/check-in/th/th,2026-04-25 05:18:53
airasia check in,IN,India,English,AirAsia (Organization),true,false,true,false,false,true,"Sitelinks, Video preview",4300,50,0.01,4215,0,1,,https://www.airasia.com/check-in/en/gb,2026-04-25 02:54:56
airasia promo,PH,Philippines,English,AirAsia (Organization),true,false,false,true,true,false,"People also ask, Video preview",3600,32,0.03,4160,0,1,,https://www.airasia.com/promotions/ph/,2026-04-19 22:13:11
airasia,AE,United Arab Emirates,,AirAsia (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Video preview, Thumbnail",4400,78,0.44,4155,0,1,,https://www.airasia.com/en/gb,2026-04-18 15:05:25
ไทยแอร์เอเชีย,TH,Thailand,Thai,Thai AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, Thumbnail, Video preview",4100,3,0.14,4128,0,1,,https://www.airasia.com/th/th,2026-04-20 02:42:24
air asia,VN,Vietnam,Vietnamese,AirAsia (Organization),true,false,false,true,true,false,"Top ads, Sitelinks, Video preview",6800,6,0.13,4103,1140,1,,https://www.airasia.com/vi/vn,2026-04-26 17:51:29
airasia singapore,SG,Singapore,English,"AirAsia (Organization), Singapore (Location)",true,true,false,true,true,false,"Sitelinks, Bottom ads, Paid sitelinks",6500,56,0.15,4091,0,1,,https://www.airasia.com/flights/,2026-04-22 03:45:24
airasia indonesia,ID,Indonesia,English,"AirAsia (Organization), Indonesia (Location)",true,false,false,true,true,false,"Sitelinks, People also ask, Bottom ads, Thumbnail",6600,11,0.07,4029,4110,1,,https://www.airasia.com/id/id,2026-04-21 10:32:47
air asia,HK,Hong Kong,English,AirAsia (Organization),true,false,true,true,true,true,"Top ads, Sitelinks, Thumbnail, Bottom ads, Paid sitelinks, Video preview",6300,67,0.30,3970,1816,1,,https://www.airasia.com/en/gb,2026-04-25 03:11:08
thai air asia,IN,India,English,Thai AirAsia (Organization),true,false,false,true,true,true,"Sitelinks, People also ask, Video preview",5200,61,0.06,3937,0,1,,https://www.airasia.com/en/gb,2026-04-27 03:38:54
flight status,MY,Malaysia,English,,false,false,false,true,false,false,Thumbnail,4500,80,0.03,3751,0,1,,https://www.airasia.com/flightstatus/en/gb,2026-04-22 09:45:44
air asia tiket,MY,Malaysia,Indonesian,AirAsia (Organization),true,false,false,true,true,true,"Thumbnail, Video preview",5100,5,0.03,3639,0,1,,https://www.airasia.com/ms/my,2026-04-26 10:59:23
ตั๋วเครื่องบินแอร์เอเชีย,TH,Thailand,Thai,AirAsia (Organization),true,false,false,false,true,true,"Sitelinks, Video preview",3000,1,0.12,3563,0,1,,https://www.airasia.com/th/th,2026-04-25 02:19:29
airasia,DE,Germany,,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Thumbnail, Video preview",3500,55,0.41,3562,0,1,,https://www.airasia.com/en/gb,2026-04-21 02:56:14
air asia india web check in,IN,India,English,"AirAsia (Organization), India (Location)",true,false,true,false,false,true,"Video preview, Sitelinks",3100,10,0.01,3559,0,1,,https://www.airasia.com/check-in/en/gb,2026-04-22 22:46:12
air asia singapore,SG,Singapore,English,"AirAsia (Organization), Singapore (Location)",true,true,false,true,true,false,"Thumbnail, People also ask, Video preview",3800,57,0.15,3502,0,1,,https://www.airasia.com/flights/singapore-singapore/,2026-04-18 23:58:01
airasia thailand,TH,Thailand,English,"AirAsia (Organization), Thailand (Location)",true,false,false,true,false,false,"Sitelinks, Video preview",3300,3,0.12,3406,0,1,,https://www.airasia.com/th/th,2026-04-14 21:21:37
airasia india,IN,India,English,"AirAsia (Organization), India (Location)",true,false,false,true,true,false,"Sitelinks, People also ask, Video preview, Thumbnail",4000,23,0.04,3399,1272,1,,https://www.airasia.com/flights/india/,2026-04-26 03:06:53
airasia flights,AU,Australia,English,AirAsia (Organization),true,false,true,true,true,true,"People also ask, Top stories, Thumbnail, Video preview",3400,30,0.18,3367,0,1,,https://www.airasia.com/flights/,2026-04-21 17:55:36
에어아시아,KR,South Korea,Korean,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, Video preview",3100,1,0.39,3225,0,1,,https://www.airasia.com/ko/kr,2026-04-14 14:34:21
air asia,NZ,New Zealand,English,AirAsia (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Thumbnail, Video preview",3100,71,0.04,3213,0,1,,https://www.airasia.com/en/gb,2026-04-19 14:00:25
air asia,LK,Sri Lanka,,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, Video preview, Thumbnail",3200,77,0.02,3198,0,1,,https://www.airasia.com/en/gb,2026-04-15 00:56:00
www.airasia.com แอร์เอเชีย,TH,Thailand,Thai,AirAsia (Organization),true,false,true,true,false,false,"Sitelinks, Video preview",2700,46,0.13,3121,0,1,,https://www.airasia.com/th/th,2026-04-21 15:09:17
airasia move,PH,Philippines,English,AirAsia MOVE (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Video preview",4200,60,0.08,3105,0,1,,https://www.airasia.com/en/gb,2026-04-25 20:57:34
check in air asia,ID,Indonesia,English,AirAsia (Organization),true,false,true,false,false,true,"Sitelinks, Video preview",3100,44,0.55,3018,0,1,,https://www.airasia.com/check-in/id/id,2026-04-24 17:54:28
airasia check in,ID,Indonesia,English,AirAsia (Organization),true,false,true,false,false,true,"Sitelinks, Video preview",3000,60,0.48,3002,0,1,,https://www.airasia.com/check-in/id/id,2026-04-22 07:23:43
airasia,KR,South Korea,,AirAsia (Organization),true,false,true,true,true,false,"Sitelinks, People also ask, Thumbnail, Video preview",2800,77,0.08,2875,0,1,,https://www.airasia.com/en/gb,2026-04-19 06:04:56
flight tracker,MY,Malaysia,English,,false,false,false,true,false,false,"Thumbnail, Video preview",27000,88,0.06,2868,0,5,,https://www.airasia.com/flightstatus/en/gb,2026-04-18 20:08:36
air asia flight status,PH,Philippines,English,AirAsia (Organization),true,false,false,true,false,false,Video preview,3000,0,0.01,2853,0,1,,https://www.airasia.com/flightstatus/en/gb,2026-04-25 23:13:42
check in airasia,MY,Malaysia,English,AirAsia (Organization),true,false,false,true,false,false,"Sitelinks, People also ask, Video preview",2800,68,0.02,2835,0,1,,https://www.airasia.com/check-in/en/gb,2026-04-19 02:41:05
air asia flight ticket,MY,Malaysia,English,AirAsia (Organization),true,false,false,false,true,true,"People also ask, Video preview",4800,71,0.03,2823,0,1,,https://www.airasia.com/flights/,2026-04-26 00:13:48
check in online air asia,ID,Indonesia,English,AirAsia (Organization),true,false,true,false,false,true,"Sitelinks, People also ask, Video preview",2700,44,0.02,2777,0,1,,https://www.airasia.com/check-in/id/id,2026-04-23 01:01:42
airasia check in,SG,Singapore,English,AirAsia (Organization),true,false,true,false,false,true,"Sitelinks, Video preview",2600,61,0.02,2755,0,1,,https://www.airasia.com/check-in/en/gb,2026-04-12 02:54:55
air asia,IT,Italy,,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, Video preview, Thumbnail",2700,39,0.53,2730,0,1,,https://www.airasia.com/en/gb,2026-04-26 18:06:31
airasia,KH,Cambodia,,AirAsia (Organization),true,false,false,true,false,false,"Sitelinks, Video preview",2600,73,0.17,2708,0,1,,https://www.airasia.com/en/gb,2026-03-07 21:31:36
สายการบินแอร์เอเชีย,TH,Thailand,Thai,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, Top stories, Thumbnail, Video preview",2400,3,0.13,2648,0,1,,https://www.airasia.com/th/th,2026-04-26 06:44:40
airasia,ES,Spain,,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, Video preview",2600,64,0.27,2596,0,1,,https://www.airasia.com/en/gb,2026-04-19 10:48:50
check flight status,MY,Malaysia,English,,false,false,false,true,false,false,"Thumbnail, AI Overview, People also ask, Video preview",4100,78,0.04,2576,0,1,,https://www.airasia.com/flightstatus/en/gb,2026-04-26 23:14:46
airasia online check in,PH,Philippines,English,AirAsia (Organization),true,false,true,false,false,true,"Sitelinks, People also ask, Video preview",2300,69,0.08,2554,0,1,,https://www.airasia.com/check-in/en/gb,2026-04-12 17:14:19
thai airasia,US,United States,English,Thai AirAsia (Organization),true,false,false,true,true,false,"Thumbnail, People also ask, Top stories",2900,67,1.08,2539,0,1,,https://www.airasia.com/flights/,2026-04-25 02:44:45
check in airasia,TH,Thailand,English,AirAsia (Organization),true,false,true,false,false,true,"Sitelinks, Video preview",2400,1,0.02,2534,0,1,,https://www.airasia.com/check-in/th/th,2026-04-26 10:32:52
air asia,KH,Cambodia,,AirAsia (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Video preview, Thumbnail",2400,73,0.17,2517,0,1,,https://www.airasia.com/en/gb,2026-03-04 04:47:38
airasiax,US,United States,,AirAsia X (Organization),true,false,false,true,true,false,"Sitelinks, Top stories, Thumbnail, People also ask, Video preview",2900,78,0.49,2499,0,1,,https://www.airasia.com/en/gb,2026-04-27 00:02:02
เช็คอินออนไลน์แอร์เอเชีย,TH,Thailand,Thai,AirAsia (Organization),true,false,true,true,false,true,"Sitelinks, People also ask, Video preview",2100,6,0.01,2473,0,1,,https://www.airasia.com/check-in/th/th,2026-04-12 05:34:37
tiket flight air asia,MY,Malaysia,Indonesian,AirAsia (Organization),true,false,true,true,true,true,Video preview,3300,58,0.04,2434,0,1,,https://www.airasia.com/flights/,2026-04-19 13:08:11
airasia จองตั๋ว,TH,Thailand,Thai,AirAsia (Organization),true,false,true,false,true,true,"Thumbnail, Video preview",2200,34,0.17,2427,252,1,,https://www.airasia.com/flights/th/th/,2026-04-22 16:06:42
airasia,SA,Saudi Arabia,,AirAsia (Organization),true,false,true,true,true,false,"Sitelinks, Bottom ads, Paid sitelinks, Video preview",3200,76,0.14,2313,1164,1,,https://www.airasia.com/en/gb,2026-04-26 13:59:59
airasia manage booking,PH,Philippines,English,AirAsia (Organization),true,false,true,false,false,true,Video preview,2500,62,0.13,2309,0,1,,https://www.airasia.com/check-in/en/gb,2026-04-25 02:17:51
airasia flight status,MY,Malaysia,English,AirAsia (Organization),true,false,false,true,false,false,Thumbnail,2300,31,0.02,2299,0,1,,https://www.airasia.com/flightstatus/en/gb,2026-04-26 10:36:10
tiket airasia,MY,Malaysia,Malay,AirAsia (Organization),true,false,false,true,true,true,Video preview,2000,0,0.03,2286,0,1,,https://www.airasia.com/ms/my,2026-04-07 21:15:55
air asia,ES,Spain,,AirAsia (Organization),true,false,true,true,true,true,"Top ads, Sitelinks, Video preview, Thumbnail, Bottom ads, Paid sitelinks",3500,58,0.37,2280,0,1,,https://www.airasia.com/en/gb,2026-04-26 19:55:36
airasia check in,PH,Philippines,English,AirAsia (Organization),true,false,true,true,false,true,"Sitelinks, Video preview",2400,64,0.01,2277,0,1,,https://www.airasia.com/check-in/en/gb,2026-04-24 07:03:33
air asia,DE,Germany,,AirAsia (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Video preview, Thumbnail",2200,58,0.44,2261,0,1,,https://www.airasia.com/en/gb,2026-04-22 15:18:45
airasia tiket murah,MY,Malaysia,Indonesian,AirAsia (Organization),true,false,false,true,true,true,"Sitelinks, Video preview",2400,0,0.03,2256,0,1,,https://www.airasia.com/ms/my,2026-04-10 09:01:02
airaisa,MY,Malaysia,English,AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, Thumbnail",2500,78,0.04,2239,0,1,,https://www.airasia.com/en/gb,2026-04-19 17:31:23
airasia promo code,MY,Malaysia,English,AirAsia (Organization),true,false,false,true,true,true,"AI Overview, Thumbnail, People also ask, Video preview",2000,0,0.14,2207,0,1,AI Overview,https://www.airasia.com/promotions/,2026-04-22 07:45:15
airasia,MV,Maldives,,AirAsia (Organization),true,false,true,true,true,true,"Sitelinks, Video preview",1900,78,0.12,2188,0,1,,https://www.airasia.com/en/gb,2026-02-04 21:29:41
airasia flight ticket,MY,Malaysia,English,AirAsia (Organization),true,false,false,false,true,true,"People also ask, Video preview",2700,63,0.03,2149,0,1,,https://www.airasia.com/flights/,2026-04-25 02:05:46
air asia ticket,PH,Philippines,English,AirAsia (Organization),true,false,false,false,true,true,"Thumbnail, Video preview",2100,59,0.04,2127,0,1,,https://www.airasia.com/flights/,2026-04-24 13:41:12
airasia online booking,MY,Malaysia,English,AirAsia (Organization),true,false,false,false,true,true,"People also ask, Video preview",1900,69,0.06,2116,0,1,,https://www.airasia.com/flights/,2026-04-26 03:48:19
airasia flight status,PH,Philippines,English,AirAsia (Organization),true,false,false,true,false,false,"People also ask, Video preview",2100,0,0.01,2110,0,1,,https://www.airasia.com/flightstatus/en/gb,2026-04-22 22:34:45
airasia malaysia,SG,Singapore,English,"AirAsia (Organization), Malaysia (Location)",true,false,false,true,true,false,"Sitelinks, People also ask, Thumbnail, Video preview",2000,78,0.14,2106,0,1,,https://www.airasia.com/en/gb,2026-04-19 23:16:53
thai airasia,GB,United Kingdom,English,Thai AirAsia (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Video preview, Thumbnail",2300,55,0.74,2073,0,1,,https://www.airasia.com/en/gb,2026-04-16 10:38:40
airasia x,TH,Thailand,English,AirAsia X (Organization),true,false,false,true,true,true,"Sitelinks, People also ask, Thumbnail, Video preview",3000,3,0.11,2060,0,1,,https://www.airasia.com/th/th,2026-04-18 18:23:54
airasia,FR,France,,AirAsia (Organization),true,false,false,true,true,false,"Top ads, Sitelinks, People also ask, Thumbnail, Video preview",2800,54,0.55,2046,0,1,,https://www.airasia.com/en/gb,2026-04-23 08:12:55
airasia,IT,Italy,,AirAsia (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Video preview, Thumbnail",2100,39,0.51,2040,0,1,,https://www.airasia.com/en/gb,2026-04-15 20:10:17
air asia,TR,Turkey,,AirAsia (Organization),true,false,true,true,true,true,"Thumbnail, Video preview",2200,74,0.10,2040,0,1,,https://www.airasia.com/flights/tr/tr/,2026-04-10 01:56:41
air asia,BN,Brunei Darussalam,,AirAsia (Organization),true,false,true,true,true,true,"Top ads, Paid sitelinks, Sitelinks, People also ask, Bottom ads, Video preview",2900,70,0.03,2024,962,1,,https://www.airasia.com/en/gb,2026-02-05 00:05:08
