Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current position kind,Current URL,Updated
sq manage booking,SG,Singapore,English,,false,false,true,false,false,true,Video preview,1000,31,0.53,1125,0,1,,https://www.singaporeair.com/en_UK/sg/plan-travel/your-booking/managebooking/,2026-04-24 17:49:15
air ticket,SG,Singapore,English,,false,false,false,false,true,true,Thumbnail,4600,62,0.16,1108,0,2,,https://www.singaporeair.com/en_UK/sg/home,2026-04-14 03:01:08
flight ticket,SG,Singapore,English,,false,false,false,false,true,true,"Top ads, Paid sitelinks, Bottom ads, Video preview, Sitelinks",11000,62,0.13,1075,0,2,,https://www.singaporeair.com/en_UK/sg/home,2026-04-25 00:05:53
singapore to tokyo,SG,Singapore,English,"Singapore (Location), Tokyo (Location)",false,true,false,true,true,false,"People also ask, Thumbnail",6400,0,0.35,1062,0,2,,https://www.singaporeair.com/en-sg/flights-to-tokyo,2026-02-18 20:33:40
flight to kl,SG,Singapore,English,Kuala Lumpur (Location),false,true,false,false,true,true,"Thumbnail, Video preview",3900,1,0.21,1055,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-kuala-lumpur,2026-04-27 00:17:39
singapore to kl flight,SG,Singapore,English,,false,true,false,true,true,false,"Thumbnail, Video preview",3700,1,0.23,1041,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-kuala-lumpur,2026-04-14 23:01:52
singapore to seoul,SG,Singapore,English,"Singapore (Location), Seoul (Location)",false,true,false,true,true,false,"People also ask, Video preview",5100,0,0.31,1016,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-seoul,2026-04-15 00:54:52
singapore airport,US,United States,English,Singapore (Location),false,true,false,true,false,false,"Sitelinks, People also ask, Knowledge panel, Video preview, Top stories, Thumbnail",45000,36,0.15,954,0,7,,https://www.singaporeair.com/en_UK/us/flying-withus/before-the-flight/changi-airport/,2026-04-23 01:03:24
airlines,AU,Australia,English,,false,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Top stories, Video preview",3900,86,0.26,940,0,2,,https://www.singaporeair.com/en_UK/au/home,2026-04-26 17:06:16
flights to japan,AU,Australia,English,Japan (Location),false,false,false,true,true,true,"Thumbnail, People also ask, Video preview",16000,2,0.20,919,0,7,,https://www.singaporeair.com/en-au/flights-to-japan,2026-04-23 18:16:42
chennai to singapore flight,IN,India,English,Chennai to Singapore (Location),false,true,false,true,true,true,"People also ask, Video preview, Thumbnail",6600,0,0.04,867,0,2,,https://www.singaporeair.com/en-in/flights-from-chennai-to-singapore,2026-04-23 21:26:45
bangalore to singapore flight,IN,India,English,,false,true,false,true,true,true,"People also ask, Video preview",4400,0,0.05,865,0,1,,https://www.singaporeair.com/en-in/flights-from-bengaluru-to-singapore,2026-04-26 16:18:58
singapore to chengdu,SG,Singapore,English,"Singapore (Location), Chengdu (Location)",false,true,false,true,true,false,"Top ads, Paid sitelinks, People also ask, Thumbnail, Bottom ads",3100,0,0.27,864,455,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-chengdu,2026-04-06 00:54:54
flights to singapore,AU,Australia,English,Singapore (Location),false,true,false,true,true,true,"Thumbnail, People also ask, Video preview",3500,0,0.28,855,0,1,,https://www.singaporeair.com/en-au/flights-to-singapore,2026-04-27 14:24:24
singapore to kl,SG,Singapore,English,"Singapore (Location), Kuala Lumpur (Location)",false,true,false,true,true,false,"People also ask, Sitelinks, Bottom ads, Paid sitelinks, Thumbnail, Video preview",5000,1,0.24,853,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-kuala-lumpur,2026-04-13 16:03:22
flight to penang from singapore,SG,Singapore,English,"Penang (Location), Singapore (Location)",false,true,false,true,true,true,Thumbnail,2500,0,0.23,774,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-penang,2026-04-01 17:47:59
singapore,DE,Germany,German,Singapore (Location),false,true,false,true,false,false,"Knowledge panel, People also ask, Thumbnail, Video preview",23000,28,0.09,758,0,5,,https://www.singaporeair.com/de_DE/de/home,2026-04-27 14:57:04
singapore business class,AU,Australia,English,Singapore (Location),false,true,false,true,true,false,"AI Overview, Thumbnail, Video preview, People also ask, Discussions and forums",1000,1,0.13,752,0,1,AI Overview,https://www.singaporeair.com/en_UK/sg/flying-withus/cabins/business-class/,2026-04-26 20:41:16
싱가포르,KR,South Korea,Korean,Singapore (Location),false,true,false,true,false,false,"Thumbnail, People also ask, Video preview, Knowledge panel",26000,11,0.06,734,0,6,,https://www.singaporeair.com/ko_KR/kr/home,2026-03-25 20:53:26
delhi to singapore flight,IN,India,English,,false,true,false,true,true,false,"People also ask, Video preview",12000,1,0.03,717,0,4,,https://www.singaporeair.com/en-in/flights-from-delhi-to-singapore,2026-04-26 16:15:16
sq,TW,Taiwan,Chinese,,false,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",3800,1,0.19,716,0,1,AI Overview,https://www.singaporeair.com/zh_TW/hk/home,2026-04-26 13:42:42
singapur,DE,Germany,German,Singapore (Location),false,true,false,true,false,false,"Knowledge panel, People also ask, Top stories, Thumbnail, Video preview",122000,26,0.08,704,0,11,,https://www.singaporeair.com/de_DE/de/home,2026-04-25 01:17:15
singapore to phuket,SG,Singapore,English,"Singapore (Location), Phuket (Location)",false,true,false,true,true,true,"People also ask, Thumbnail",2200,0,0.25,703,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-phuket,2026-04-05 16:40:28
singapore to jeju flight,SG,Singapore,English,,false,true,false,true,true,false,"People also ask, Thumbnail, Video preview",1900,0,0.21,695,0,1,,https://www.singaporeair.com/en-sg/flights-to-jeju,2026-04-28 02:03:15
flights to bali,GB,United Kingdom,English,Bali (Location),false,true,false,true,true,true,"People also ask, Thumbnail, Video preview",10000,0,0.29,683,0,4,,https://www.singaporeair.com/en-gb/flights-from-london-to-denpasar-bali,2026-04-28 18:28:22
sg to kl,SG,Singapore,English,,false,true,false,true,true,false,"People also ask, Video preview, Thumbnail",3100,2,0.24,673,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-kuala-lumpur,2026-04-13 00:55:28
chennai to singapore flights,SG,Singapore,English,Chennai to Singapore (Location),false,true,false,true,true,true,Video preview,1500,0,0.15,667,0,1,,https://www.singaporeair.com/en-sg/flights-from-chennai-to-singapore,2026-04-11 13:52:32
mumbai to singapore flight,IN,India,English,Mumbai to Singapore (Location),false,true,false,true,true,true,"Top ads, Paid sitelinks, People also ask, Thumbnail, Video preview",7900,1,0.03,667,0,1,,https://www.singaporeair.com/en-in/flights-from-mumbai-to-singapore,2026-04-25 01:12:15
melbourne to japan,AU,Australia,English,"Melbourne (Location), Japan (Location)",false,true,false,true,true,false,"People also ask, Thumbnail, Video preview",3900,0,0.14,661,0,2,,https://www.singaporeair.com/en-au/flights-from-melbourne-to-japan,2026-04-24 11:43:21
singapore to guangzhou flight,SG,Singapore,English,,false,true,false,true,true,false,Thumbnail,2700,0,0.27,654,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-guangzhou,2026-04-19 00:52:58
singapore,NZ,New Zealand,,Singapore (Location),false,true,false,true,false,false,"Thumbnail, People also ask, Top stories, Video preview",13000,92,0.06,641,0,3,,https://www.singaporeair.com/,2026-02-22 04:56:01
singapore to japan,SG,Singapore,English,"Singapore (Location), Japan (Location)",false,true,false,true,true,false,"People also ask, Video preview, Thumbnail",3000,0,0.22,635,0,1,,https://www.singaporeair.com/en-sg/flights-to-japan,2026-04-25 02:53:47
singapore,ZA,South Africa,,Singapore (Location),false,true,false,true,false,false,"People also ask, Thumbnail",15000,89,0.01,633,0,3,,https://www.singaporeair.com/en_UK/us/home,2026-04-24 19:13:06
sq hotline,SG,Singapore,English,,false,false,false,true,false,false,"AI Overview, Thumbnail",700,7,1.11,630,0,1,AI Overview,https://www.singaporeair.com/en_UK/sg/support/help-centre/,2026-03-27 20:44:23
singapore manage booking,AU,Australia,English,Singapore (Location),false,true,true,false,false,true,,600,44,0.24,630,0,1,,https://www.singaporeair.com/en_UK/sg/plan-travel/your-booking/managebooking/,2026-04-23 22:06:54
manage booking,AU,Australia,English,,false,false,false,true,false,true,,3800,34,1.35,628,0,2,,https://www.singaporeair.com/en_UK/us/plan-travel/your-booking/managebooking/,2026-04-26 02:14:31
singapore to penang,SG,Singapore,English,"Singapore (Location), Penang (Location)",false,true,false,true,true,false,"People also ask, Thumbnail",3800,1,0.24,616,0,2,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-penang,2026-04-14 22:55:40
シンガポール 空港,JP,Japan,Japanese,Singapore (Location),false,true,false,true,false,false,"Thumbnail, People also ask, Knowledge panel, Video preview",3300,3,0.33,615,0,1,,https://www.singaporeair.com/ja_JP/jp/flying-withus/before-the-flight/changi-airport/,2026-04-26 20:05:11
brisbane to london flights,AU,Australia,English,,false,false,false,true,true,false,Thumbnail,1800,0,0.33,608,0,1,,https://www.singaporeair.com/en-au/flights-from-brisbane-to-london,2026-04-28 09:47:23
pps,SG,Singapore,,,false,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",1200,14,0.23,605,0,1,AI Overview,https://www.singaporeair.com/en_UK/sg/ppsclub-krisflyer/ppsclub/,2026-04-13 09:29:14
melbourne to delhi flights,AU,Australia,English,,false,true,false,true,true,true,"Thumbnail, Video preview",4200,0,0.34,599,0,2,,https://www.singaporeair.com/en-au/flights-from-melbourne-to-delhi,2026-04-24 19:34:28
flights to perth australia,GB,United Kingdom,English,"Perth (Location), Australia (Location)",false,true,false,true,true,true,"Top ads, Paid sitelinks, People also ask, Thumbnail, Bottom ads",2900,0,0.35,597,0,1,,https://www.singaporeair.com/en-gb/flights-from-london-to-perth,2026-04-28 19:53:09
singapore to chennai flight,SG,Singapore,English,,false,true,false,true,true,false,"Bottom ads, Video preview",6500,0,0.13,593,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-chennai,2026-04-24 19:20:57
japan flights,AU,Australia,English,Japan (Location),false,false,false,true,true,false,"Thumbnail, People also ask, Video preview",8200,4,0.19,590,0,5,,https://www.singaporeair.com/en-au/flights-to-japan,2026-04-25 01:23:27
flight to bangkok,SG,Singapore,English,Bangkok (Location),false,true,false,true,true,true,"People also ask, Thumbnail",1900,1,0.22,581,0,1,,https://www.singaporeair.com/en-sg/flights-to-bangkok,2026-04-14 04:25:25
sg to kl flight,SG,Singapore,English,,false,false,false,true,true,false,"Thumbnail, Video preview",2000,0,0.23,575,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-kuala-lumpur,2026-04-12 13:31:54
flights to australia from uk,GB,United Kingdom,English,"Australia (Location), UK (Location)",false,false,false,true,true,true,"Top ads, Paid sitelinks, Thumbnail, People also ask, Bottom ads, Video preview",4900,0,0.24,566,0,2,,https://www.singaporeair.com/en-gb/flights-from-london-to-australia,2026-04-24 14:00:58
singapore to hyderabad flights,SG,Singapore,English,,false,true,false,true,true,true,"Thumbnail, Video preview",1400,0,0.13,564,0,1,,https://www.singaporeair.com/en-sg/flights-to-hyderabad-1,2026-04-10 02:05:51
auckland to delhi flight,NZ,New Zealand,English,,false,true,false,true,true,false,"Top ads, Paid sitelinks, People also ask, Video preview",1500,0,0.18,560,0,1,,https://www.singaporeair.com/en-nz/flights-from-auckland-to-delhi,2026-04-18 17:42:04
singapore to jeju,SG,Singapore,English,"Singapore (Location), Jeju (Location)",false,true,false,true,true,false,"People also ask, Bottom ads, Paid sitelinks, Video preview, Thumbnail",2700,0,0.22,560,0,1,,https://www.singaporeair.com/en-sg/flights-to-jeju,2026-04-19 20:37:57
singapore to chengdu flight,SG,Singapore,English,,false,true,false,true,true,false,"People also ask, Thumbnail, Video preview",1500,0,0.26,559,30,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-chengdu,2026-04-10 15:57:16
sia cabin crew,SG,Singapore,English,,false,false,false,true,false,false,"Sitelinks, Video preview, Thumbnail, People also ask",600,2,0.27,556,0,1,,https://www.singaporeair.com/en_UK/sg/careers/cabin-crew-career/,2026-04-28 22:05:35
sq miles calculator,SG,Singapore,English,,false,false,false,true,false,false,"People also ask, Thumbnail, Sitelinks, Video preview",800,8,0.56,537,0,1,,https://www.singaporeair.com/krisflyer/miles/miles-calculator,2026-04-18 14:02:08
singapore to perth,SG,Singapore,English,"Singapore (Location), Perth (Location)",false,true,false,true,true,false,People also ask,3000,0,0.27,537,100,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-perth,2026-04-19 20:54:38
singapore to bangkok flight,SG,Singapore,English,,false,true,false,true,true,true,"Thumbnail, People also ask, Video preview",2900,0,0.24,531,0,1,,https://www.singaporeair.com/en-sg/flights-to-bangkok,2026-04-24 13:37:25
flights to india,AU,Australia,English,India (Location),false,false,false,true,true,true,Thumbnail,2500,0,0.29,530,0,1,,https://www.singaporeair.com/en-au/flights-to-india,2026-04-28 18:28:21
manila to singapore flight,PH,Philippines,English,,false,true,false,true,true,false,"People also ask, Video preview",2300,0,0.11,528,0,1,,https://www.singaporeair.com/en-ph/flights-from-manila-to-singapore,2026-04-17 03:48:48
sq manage booking,ID,Indonesia,English,,false,false,true,false,false,true,,600,78,0.46,521,0,1,,https://www.singaporeair.com/en_UK/sg/plan-travel/your-booking/managebooking/,2026-04-19 00:36:42
singapore to japan flight,SG,Singapore,English,,false,false,false,true,true,false,"People also ask, Thumbnail, Video preview",2100,0,0.22,516,0,1,,https://www.singaporeair.com/en-sg/flights-to-japan,2026-04-13 15:45:16
mumbai singapore flights,IN,India,English,"Mumbai (Location), Singapore (Location)",false,true,false,true,true,false,"People also ask, Thumbnail, Video preview",1400,0,0.03,515,0,1,,https://www.singaporeair.com/en-in/flights-from-mumbai-to-singapore,2026-04-20 21:37:31
flights to kl,SG,Singapore,English,Kuala Lumpur (Location),false,true,false,false,true,true,People also ask,1800,1,0.21,512,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-kuala-lumpur,2026-04-04 18:54:49
singapore to guangzhou,SG,Singapore,English,"Singapore (Location), Guangzhou (Location)",false,true,false,true,true,false,"People also ask, Thumbnail, Bottom ads, Paid sitelinks",3900,0,0.30,511,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-guangzhou,2026-04-28 12:08:02
singapore city tour,IN,India,English,Singapore (Location),false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask, Local pack, Video preview",1100,39,0.03,509,0,1,AI Overview,https://www.singaporeair.com/en_UK/sg/plan-travel/privileges/free-singapore-tour/,2026-04-23 03:55:50
melbourne to singapore,AU,Australia,English,,false,false,false,true,true,false,"People also ask, Video preview",4300,0,0.27,493,0,1,,https://www.singaporeair.com/en-au/flights-from-melbourne-to-singapore,2026-04-25 22:22:46
singapore to kunming,SG,Singapore,English,"Singapore (Location), Kunming (Location)",false,true,false,true,true,false,People also ask,1500,0,0.27,491,0,1,,https://www.singaporeair.com/en-sg/flights-to-kunming,2026-04-01 04:59:57
sydney to singapore,AU,Australia,English,,false,false,false,true,true,false,"People also ask, Thumbnail, Bottom ads, Paid sitelinks, Video preview",6300,0,0.28,485,0,2,,https://www.singaporeair.com/en-au/flights-from-sydney-to-singapore,2026-04-28 04:18:49
flights to singapore from melbourne,AU,Australia,English,"Singapore (Location), Melbourne (Location)",false,true,false,true,true,true,"Thumbnail, People also ask, Video preview",1500,0,0.29,484,0,1,,https://www.singaporeair.com/en-au/flights-from-melbourne-to-singapore,2026-04-14 09:21:00
singapore to vietnam flight,SG,Singapore,English,,false,false,false,true,true,true,People also ask,1600,0,0.16,477,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-ho-chi-minh-city,2026-03-30 01:09:13
singapore to kuala lumpur,SG,Singapore,English,"Singapore (Location), Kuala Lumpur (Location)",false,true,false,true,true,false,"People also ask, Thumbnail, Sitelinks, Video preview",3100,2,0.27,476,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-kuala-lumpur,2026-04-19 20:19:11
perth to singapore,AU,Australia,English,"Perth (Location), Singapore (Location)",false,true,false,true,true,false,"People also ask, Thumbnail",4000,0,0.27,476,0,2,,https://www.singaporeair.com/en-au/flights-from-perth-to-singapore,2026-04-24 10:50:11
singapore to ho chi minh,SG,Singapore,English,"Singapore (Location), Ho Chi Minh City (Location)",false,true,false,true,true,false,"People also ask, Thumbnail, Bottom ads, Video preview",3200,1,0.27,473,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-ho-chi-minh-city,2026-04-15 00:54:07
singapore,TH,Thailand,,Singapore (Location),false,true,false,true,false,false,"Knowledge panel, People also ask, Thumbnail, Top stories, Video preview",18000,88,0.07,472,0,5,,https://www.singaporeair.com/en_UK/us/home,2026-04-22 04:32:22
flight to kl from singapore,SG,Singapore,English,"Kuala Lumpur (Location), Singapore (Location)",false,true,false,true,true,true,"Thumbnail, Video preview",1600,1,0.23,467,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-kuala-lumpur,2026-04-10 09:44:38
singapore to korea flight,SG,Singapore,English,,false,false,false,true,true,false,"People also ask, Video preview, Thumbnail",1500,0,0.25,464,38,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-seoul,2026-04-11 23:11:19
singapore to dubai,SG,Singapore,English,"Singapore (Location), Dubai (Location)",false,true,false,true,true,false,"AI Overview, People also ask, Video preview",2000,0,0.25,460,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-dubai,2026-04-15 03:08:15
adelaide to delhi flights,AU,Australia,English,,false,false,false,true,true,false,"Thumbnail, People also ask",1200,0,0.34,460,0,1,,https://www.singaporeair.com/en-au/flights-from-adelaide-to-delhi,2026-04-24 10:33:08
singapore,AE,United Arab Emirates,,Singapore (Location),false,true,false,true,false,false,"Knowledge panel, People also ask, Thumbnail, Video preview",15000,80,0.04,456,0,4,,https://www.singaporeair.com/en_UK/us/home,2026-04-18 23:55:33
sg to bkk,SG,Singapore,English,,false,false,false,true,true,false,"People also ask, Thumbnail, Video preview",1800,0,0.26,454,0,1,,https://www.singaporeair.com/en-sg/flights-to-bangkok,2026-04-12 23:57:34
sq check in,ID,Indonesia,English,,false,false,false,true,false,false,Video preview,350,0,0.57,451,0,1,,https://www.singaporeair.com/in_ID/id/travel-info/check-in/online-mobile-checkin/,2026-04-11 16:10:42
flight tickets,SG,Singapore,English,,false,false,false,false,true,true,"Video preview, Sitelinks",1800,61,0.13,451,0,2,,https://www.singaporeair.com/en_UK/sg/home,2026-04-18 15:28:31
penang to shanghai flight,MY,Malaysia,English,,false,false,false,true,true,false,Thumbnail,3000,0,0.27,444,0,2,,https://www.singaporeair.com/en-my/flights-from-penang-to-shanghai,2026-04-24 19:13:40
tickets to india,AU,Australia,English,India (Location),false,false,false,false,true,true,,1100,1,0.29,442,0,1,,https://www.singaporeair.com/en-au/flights-to-india,2026-04-15 17:13:18
singapore to sydney,SG,Singapore,English,"Singapore (Location), Sydney (Location)",false,true,false,true,true,false,"People also ask, Thumbnail, Bottom ads, Paid sitelinks, Video preview",2700,0,0.28,438,358,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-sydney,2026-04-12 02:54:52
sydney to kathmandu flights,AU,Australia,English,Sydney to Kathmandu (Event),false,false,false,true,true,true,Thumbnail,1000,0,0.36,436,0,1,,https://www.singaporeair.com/en-au/flights-from-sydney-to-kathmandu,2026-04-19 16:59:15
flight to korea,SG,Singapore,English,South Korea (Location),false,false,false,true,true,true,"People also ask, Video preview",1100,0,0.22,431,0,1,,https://www.singaporeair.com/en-sg/flights-to-south-korea,2026-03-28 00:54:41
bokep ibu dan anak kecil,ID,Indonesia,Indonesian,,false,false,false,false,false,false,People also ask,1200,46,,429,0,1,,https://www.singaporeair.com/in_ID/id/travel-info/special-assistance/unaccompanied-minors/,2026-04-15 01:07:34
singapore,BD,Bangladesh,,Singapore (Location),false,true,false,true,false,false,"People also ask, Thumbnail, Knowledge panel, Video preview, Bottom ads",20000,88,0.01,429,0,6,,https://www.singaporeair.com/en_UK/us/home,2026-04-24 19:13:03
flight attendant,SG,Singapore,English,,false,false,false,true,false,false,"AI Overview, Thumbnail, People also ask",3700,61,0.11,429,0,2,,https://www.singaporeair.com/en_UK/sg/careers/cabin-crew-career/,2026-04-25 02:55:09
sq baggage allowance,SG,Singapore,English,,false,false,false,true,false,false,"AI Overview, Thumbnail, People also ask",450,1,0.15,428,0,1,AI Overview,https://www.singaporeair.com/en_UK/sg/travel-info/baggage/checked-baggage/,2026-04-25 04:18:31
singapore to mumbai flight,SG,Singapore,English,,false,true,false,true,true,false,Thumbnail,1500,1,0.20,424,0,1,,https://www.singaporeair.com/en-sg/flights-to-mumbai,2026-04-06 02:51:08
singapore to delhi flight,SG,Singapore,English,,false,true,false,true,true,true,"Thumbnail, People also ask",2300,0,0.23,421,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-delhi,2026-04-19 12:19:04
sydney to delhi flight,AU,Australia,English,,false,false,false,true,true,false,"Thumbnail, Video preview",2900,0,0.34,420,0,2,,https://www.singaporeair.com/en-au/flights-from-sydney-to-delhi,2026-04-23 21:13:00
flights to japan from perth,AU,Australia,English,"Japan (Location), Perth (Location)",false,true,false,true,true,true,People also ask,1200,0,0.19,412,0,1,,https://www.singaporeair.com/en-au/flights-from-perth-to-tokyo,2026-04-12 00:59:08
singapore premium economy,AU,Australia,English,Singapore (Location),false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask, Sitelinks, Video preview",1200,0,0.11,409,0,1,AI Overview,https://www.singaporeair.com/en_UK/us/flying-withus/cabins/premium-economy-class/,2026-04-11 12:15:39
sq student fare,SG,Singapore,English,,false,false,false,true,true,false,"Sitelinks, People also ask, Video preview, Thumbnail",600,0,0.84,406,0,1,,https://www.singaporeair.com/en_UK/sg/ppsclub-krisflyer/krisflyer/krisflyer-students/,2026-04-12 21:02:45
sydney to singapore flights,AU,Australia,English,,false,false,false,true,true,true,"Thumbnail, People also ask, Video preview",1600,0,0.30,405,0,1,,https://www.singaporeair.com/en-au/flights-from-sydney-to-singapore,2026-04-21 23:50:17
penang to singapore flight,MY,Malaysia,English,,false,true,false,true,true,true,Thumbnail,2600,0,0.24,398,0,2,,https://www.singaporeair.com/en-my/flights-from-penang-to-singapore,2026-04-28 13:43:48
singapore to okinawa,SG,Singapore,English,"Singapore (Location), Okinawa (Location)",false,true,false,true,true,false,"People also ask, Video preview",2200,0,0.15,398,0,2,,https://www.singaporeair.com/en-sg/flights-to-okinawa,2026-04-24 13:12:38
sin to bkk,SG,Singapore,English,,false,false,false,true,true,false,"Thumbnail, Video preview",2200,0,0.27,397,0,1,,https://www.singaporeair.com/en-sg/flights-to-bangkok,2026-04-15 00:56:14
flight to bali,SG,Singapore,English,Bali (Location),false,true,false,true,true,true,"People also ask, Thumbnail",1600,0,0.25,396,0,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-denpasar-bali,2026-04-11 08:43:07
singapore to melbourne,SG,Singapore,English,"Singapore (Location), Melbourne (Location)",false,true,false,true,true,false,"People also ask, Bottom ads, Paid sitelinks",3300,0,0.36,396,96,1,,https://www.singaporeair.com/en-sg/flights-from-singapore-to-melbourne,2026-04-14 14:20:29
sydney to colombo flights,AU,Australia,English,Sydney to Colombo (Event),false,false,false,true,true,false,"People also ask, Thumbnail",1100,0,0.26,395,0,1,,https://www.singaporeair.com/en-au/flights-from-sydney-to-colombo,2026-04-27 18:06:14
