Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current position kind,Current URL,Updated
malaysia airlines manage booking,IN,India,English,Malaysia Airlines (Organization),true,false,true,false,false,true,"Top ads, Sitelinks, Bottom ads",5200,0,0.01,6109,835,1,,https://www.malaysiaairlines.com/in/en/plan-trip/booking-and-services.html,2026-04-25 10:16:56
malaysia airlines,TH,Thailand,English,Malaysia Airlines (Organization),true,false,false,true,false,false,"Sitelinks, People also ask, Thumbnail, Video preview",5100,67,0.18,5158,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-26 21:36:09
enrich,MY,Malaysia,English,,false,false,false,true,false,false,"People also ask, Video preview",4600,43,0.41,4593,0,1,,https://www.malaysiaairlines.com/my/en/enrich-portal/summary.html,2026-04-25 19:12:58
maswings,MY,Malaysia,English,MASwings (Organization),true,false,false,true,true,false,"Thumbnail, People also ask, Video preview",4700,3,0.15,4428,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-26 04:21:39
malaysia airlines,FR,France,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Thumbnail, Video preview",5600,70,0.50,4314,0,1,,https://www.malaysiaairlines.com/fr/fr/home.html,2026-04-22 05:41:25
check in malaysia airlines,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,true,true,false,false,"People also ask, Video preview",4100,48,0.02,4285,0,1,,https://www.malaysiaairlines.com/my/en/travel-info/check-in.html,2026-04-26 04:19:12
malaysia airlines career,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,false,true,false,false,"People also ask, Video preview",3500,0,0.01,4099,0,1,,https://www.malaysiaairlines.com/hk/en/about-us/join-us.html,2026-04-20 01:40:15
malaysia airlines,CA,Canada,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Thumbnail, Video preview",5100,71,0.06,3827,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-27 03:44:46
malaysia airlines,JP,Japan,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Thumbnail, Video preview",3700,66,0.17,3588,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-26 03:57:03
馬來西亞航空,TW,Taiwan,Chinese,Malaysia Airlines (Organization),true,false,true,true,false,false,"Sitelinks, People also ask, Video preview",3500,1,0.30,3510,141,1,,https://www.malaysiaairlines.com/tw/zh_tw/home.html,2026-04-26 10:13:25
malaysia airlines manage booking,AU,Australia,English,Malaysia Airlines (Organization),true,false,true,false,false,true,"Video preview, Thumbnail",2900,2,0.02,3331,0,1,,https://www.malaysiaairlines.com/au/en/plan-trip/booking-and-services.html,2026-04-25 00:37:38
malaysia airlines manage booking,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,true,false,false,true,"Top ads, Video preview, Bottom ads, Paid sitelinks",3700,7,0.03,3302,445,1,,https://www.malaysiaairlines.com/my/en/plan-trip/booking-and-services.html,2026-04-19 17:40:24
malaysia airlines,ES,Spain,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Top ads, Sitelinks, People also ask, Bottom ads, Video preview",5000,62,0.07,3085,1334,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-26 08:51:42
mas check in online,MY,Malaysia,English,,false,false,true,false,false,true,"People also ask, Video preview",2900,47,0.02,2802,0,1,,https://www.malaysiaairlines.com/my/en/travel-info/check-in.html,2026-04-24 19:34:24
malaysia airline check in,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,true,true,false,true,"People also ask, Video preview",2600,23,0.02,2712,0,1,,https://www.malaysiaairlines.com/my/en/travel-info/check-in.html,2026-04-22 00:52:33
malaysia airlines web check in,IN,India,English,Malaysia Airlines (Organization),true,false,true,false,false,true,"Top ads, Bottom ads, Video preview",2700,3,0.01,2679,310,1,,https://www.malaysiaairlines.com/in/en/travel-info/check-in.html,2026-04-26 18:30:14
www.malaysiaairlines.com.my online booking,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,true,false,true,true,"Sitelinks, People also ask",1100,22,0.51,2620,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-18 02:29:01
malaysia,US,United States,English,Malaysia (Location),false,false,false,true,false,false,"Thumbnail, People also ask, Knowledge panel, Video preview",151000,83,0.05,2609,0,6,,https://www.malaysiaairlines.com/us/en/home.html,2026-04-22 05:20:06
mhexplorer,AU,Australia,,MHexplorer (Event),true,false,false,true,false,false,"Video preview, Thumbnail",1700,0,1.06,2551,0,1,,https://www.malaysiaairlines.com/au/en/other-offerings/mhexplorer.html,2026-04-12 20:00:18
malaysia airlines check in,ID,Indonesia,English,Malaysia Airlines (Organization),true,false,true,true,false,true,"People also ask, Video preview",2200,13,0.01,2531,0,1,,https://www.malaysiaairlines.com/id/id/travel-info/check-in.html,2026-04-17 14:25:51
mas flight,MY,Malaysia,English,MAS flight (Event),true,false,false,true,true,false,"Sitelinks, Video preview",3000,49,0.17,2513,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-18 23:23:48
malaysia airlines,PH,Philippines,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Thumbnail, Video preview",2600,71,0.13,2387,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-26 04:07:37
malaysia airlines booking,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,false,false,false,true,Sitelinks,2400,16,0.25,2368,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-26 06:10:35
malaysia airlines,BN,Brunei Darussalam,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Top ads, Sitelinks, People also ask, Bottom ads, Thumbnail, Video preview",2800,57,0.06,2297,1173,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-03-19 13:50:39
mh explorer,MY,Malaysia,,MHexplorer (Event),true,false,false,true,false,false,"Thumbnail, Video preview",2400,0,0.18,2241,0,1,,https://www.malaysiaairlines.com/au/en/other-offerings/mhexplorer.html,2026-04-19 11:13:22
malaysia,MY,Malaysia,,Malaysia (Location),false,false,false,true,false,false,"Top stories, Thumbnail, People also ask, Knowledge panel, Video preview",143000,86,0.05,2239,0,9,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-24 05:02:51
malaysia airlines,MV,Maldives,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Thumbnail, Sitelinks, Video preview",2500,59,0.04,2175,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-02-04 21:11:21
malaysia airline,SG,Singapore,English,Malaysia Airlines (Organization),true,false,false,true,false,false,"Sitelinks, People also ask, Top stories, Thumbnail, Bottom ads",3100,50,0.51,2163,2108,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-13 16:02:52
malaysia,IN,India,,Malaysia (Location),false,false,false,true,false,false,"Knowledge panel, People also ask, Thumbnail, Video preview",146000,86,0.02,2149,0,7,,https://www.malaysiaairlines.com/us/en/home.html,2026-04-23 12:22:04
马航,MY,Malaysia,Chinese,Malaysia Airlines (Organization),true,false,false,true,false,false,"Sitelinks, People also ask, Video preview",2600,10,,2022,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-10 10:58:08
malaysia,SG,Singapore,,Malaysia (Location),false,false,false,true,false,false,"Knowledge panel, Thumbnail, People also ask, Top stories, Video preview",32000,79,0.03,1921,0,5,,https://www.malaysiaairlines.com/us/en/home.html,2026-04-24 19:19:23
mhupgrade,MY,Malaysia,,MHupgrade (Product),true,false,false,true,true,false,"People also ask, Sitelinks, Video preview",1500,0,1.01,1874,0,1,,https://www.malaysiaairlines.com/my/en/other-offerings/mhupgrade.html,2026-04-09 16:12:09
malaysian airlines,GB,United Kingdom,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Top stories, Thumbnail, Video preview",2100,30,,1817,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-14 07:32:54
malaysia airlines,BD,Bangladesh,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Video preview",2100,46,0.04,1790,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-14 23:24:15
malaysian airlines,IN,India,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Top ads, Sitelinks, People also ask, Top stories, Thumbnail, Bottom ads, Video preview",3300,72,,1744,838,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-22 18:47:50
malaysia airlines check in,AU,Australia,English,Malaysia Airlines (Organization),true,false,true,true,false,true,Video preview,1700,0,0.03,1729,0,1,,https://www.malaysiaairlines.com/au/en/travel-info/check-in.html,2026-04-11 12:06:25
malaysia airlines flight,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,true,true,false,false,"Sitelinks, People also ask, Video preview",2300,55,0.17,1716,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-19 00:39:57
malaysia digital arrival card,SG,Singapore,English,Malaysia Digital Arrival Card (Product),true,false,false,true,false,false,"People also ask, Video preview",36000,35,0.20,1711,0,7,,https://www.malaysiaairlines.com/sg/en/travel-info/visa-and-immigration-documents.html,2026-04-19 05:29:54
mhexplorer login,MY,Malaysia,English,MHExplorer (Product),true,false,true,false,false,false,Video preview,2300,0,0.54,1624,0,1,,https://www.malaysiaairlines.com/hk/en/other-offerings/mhexplorer/mhexplorer-login.html,2026-04-23 19:30:40
malaysia airlines,VN,Vietnam,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Top ads, Thumbnail, People also ask, Bottom ads, Paid sitelinks, Video preview",2300,38,0.15,1624,1297,1,,https://www.malaysiaairlines.com/vn/en/home.html,2026-04-25 15:28:23
malaysia airline,AU,Australia,English,Malaysia Airlines (Organization),true,false,true,true,true,false,"Sitelinks, People also ask, Top stories, Thumbnail, Bottom ads, Video preview",2500,15,0.32,1585,766,1,,https://www.malaysiaairlines.com/au/en/home.html,2026-04-14 05:27:38
mas airline,SG,Singapore,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"People also ask, Thumbnail, Bottom ads, Video preview",2200,27,0.35,1574,682,1,,https://www.malaysiaairlines.com/sg/en/home.html,2026-04-12 21:45:01
tiket flight,MY,Malaysia,"English, Indonesian",,false,false,false,false,true,true,Video preview,22000,2,0.11,1495,0,5,,https://www.malaysiaairlines.com/my/ms/home.html,2026-04-19 22:52:11
enrich points,MY,Malaysia,English,Enrich Points (Product),true,false,false,true,false,false,"Thumbnail, People also ask, Video preview",1400,49,0.26,1476,0,1,,https://www.malaysiaairlines.com/my/en/enrich-portal/summary.html,2026-04-09 16:12:33
malaysia airlines,LK,Sri Lanka,English,Malaysia Airlines (Organization),true,false,false,true,true,true,"Thumbnail, People also ask, Video preview",1700,56,0.05,1382,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-03-18 14:12:51
malaysiaairlines,MY,Malaysia,,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, Top stories, Thumbnail, People also ask, Video preview",1400,47,0.37,1368,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-11 18:50:18
mhflypass,MY,Malaysia,,MHflypass (Product),true,false,false,true,true,false,"Thumbnail, People also ask, Video preview",1300,1,0.37,1331,0,1,,https://www.malaysiaairlines.com/my/en/other-offerings/travel-passes.html,2026-04-16 03:09:55
malaysia airlines contact,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,false,true,false,false,,2300,2,0.06,1287,0,1,,https://www.malaysiaairlines.com/hq/en/askmh/contact-details.html,2026-04-05 10:35:40
mhexplorer student,MY,Malaysia,English,MHexplorer (Event),true,false,false,true,false,false,"Thumbnail, Video preview",2000,0,0.27,1264,0,1,,https://www.malaysiaairlines.com/my/en/other-offerings/mhexplorer.html,2026-04-22 11:46:11
malaysia airlines check in,IN,India,English,Malaysia Airlines (Organization),true,false,true,false,false,true,"People also ask, Thumbnail, Video preview",1300,9,0.01,1250,0,1,,https://www.malaysiaairlines.com/hq/en/travel-info/check-in.html,2026-04-14 04:00:54
malaysia airlines,NP,Nepal,English,Malaysia Airlines (Organization),true,false,true,true,true,false,"People also ask, Thumbnail, Video preview",1600,50,0.05,1205,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-14 08:45:55
malaysian airlines,LK,Sri Lanka,English,Malaysian Airlines (Organization),true,false,false,true,false,false,"Sitelinks, People also ask, Thumbnail, Video preview",1400,36,,1159,0,1,,https://www.malaysiaairlines.com/hq/en/home.html,2026-02-19 05:17:14
malaysian airlines,SG,Singapore,English,Malaysian Airlines (Organization),true,false,false,true,false,false,"Sitelinks, Top stories, Thumbnail, People also ask, Bottom ads, Video preview",1700,54,0.37,1159,1219,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-12 13:30:57
malaysia airlines,ZA,South Africa,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Thumbnail, Video preview",1600,55,0.04,1146,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-18 18:46:28
malaysia airlines,DE,Germany,English,Malaysia Airlines (Organization),true,false,false,true,true,false,"Thumbnail, People also ask, Video preview",1900,42,0.25,1144,0,1,,https://www.malaysiaairlines.com/hq/en/home.html,2026-04-25 11:35:56
malaysia airlines,IT,Italy,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Thumbnail, People also ask, Video preview",1300,65,0.07,1100,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-22 00:47:39
mhstudio,MY,Malaysia,,MHStudio (Product),true,false,false,true,false,false,"People also ask, Knowledge panel, Thumbnail, Video preview",1000,0,,1091,0,1,,https://www.malaysiaairlines.com/my/en/experience/in-flight-offerings/entertainment.html,2026-04-04 19:51:37
malaysian airlines,PH,Philippines,English,Malaysia Airlines (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Thumbnail, Video preview",1200,56,,1091,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-13 15:25:25
malaysia airlines,SA,Saudi Arabia,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Video preview",1100,25,0.07,1085,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-07 09:31:25
malaysian airlines,NZ,New Zealand,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Thumbnail, Video preview",1100,46,,1039,0,1,,https://www.malaysiaairlines.com/us/en/home.html,2026-04-11 10:43:30
malaysian airlines web check in,IN,India,English,Malaysian Airlines (Organization),true,false,true,false,false,true,"People also ask, Video preview",1000,3,,1037,0,1,,https://www.malaysiaairlines.com/hq/en/travel-info/check-in.html,2026-04-18 23:06:12
malaysia airlines contact,AU,Australia,English,Malaysia Airlines (Organization),true,false,false,true,false,false,,1800,1,,971,0,1,,https://www.malaysiaairlines.com/au/en/askmh/contact-details.html,2026-04-26 23:34:39
malaysia airlines ticket,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,false,false,true,true,Video preview,1400,5,0.09,970,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-10 22:02:40
mh,MY,Malaysia,,Malaysia Airlines (Organization),true,false,false,true,false,false,"Sitelinks, People also ask, Video preview, Thumbnail",1600,49,0.27,961,17,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-24 19:27:56
malaysian airlines check in,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,true,false,false,true,"People also ask, Video preview",1000,12,,961,0,1,,https://www.malaysiaairlines.com/uk/en/travel-info/check-in.html,2026-04-22 11:45:44
malaysian airline,AU,Australia,English,Malaysia Airlines (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Thumbnail, Video preview",1100,42,0.36,953,0,1,,https://www.malaysiaairlines.com/us/en/home.html,2026-04-13 17:48:17
malaysia airlines check in,SG,Singapore,English,Malaysia Airlines (Organization),true,false,true,false,false,true,"People also ask, Thumbnail, Bottom ads, Video preview",1100,20,0.01,938,74,1,,https://www.malaysiaairlines.com/uk/en/travel-info/check-in.html,2026-04-13 12:22:42
malaysia air,AU,Australia,English,Malaysia (Location),false,false,false,true,false,false,"People also ask, Thumbnail, Video preview",1000,29,,916,0,1,,https://www.malaysiaairlines.com/au/en/home.html,2026-04-13 02:24:19
malaysia airlines,IE,Ireland,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Top stories, Thumbnail, Video preview",1100,35,0.26,915,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-14 11:06:30
mas airline check in,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,true,false,false,true,"People also ask, Video preview",900,36,0.02,902,0,1,,https://www.malaysiaairlines.com/my/en/travel-info/check-in.html,2026-04-09 09:56:55
malaysia airline,TH,Thailand,English,Malaysia Airlines (Organization),true,false,true,true,true,false,"Sitelinks, People also ask, Thumbnail, Video preview",1000,53,0.41,899,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-13 23:35:52
malaysian airlines manage booking,IN,India,English,Malaysian Airlines (Organization),true,false,true,false,false,true,"People also ask, Video preview, Bottom ads",1800,0,,899,176,1,,https://www.malaysiaairlines.com/in/en/plan-trip/booking-and-services.html,2026-04-19 01:02:02
malaysia airlines,PK,Pakistan,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Thumbnail, People also ask, Top stories, Video preview",1300,55,0.04,896,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-07 11:42:28
mas airline booking,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,false,false,false,true,"Sitelinks, Video preview",1000,28,0.22,896,0,1,,https://www.malaysiaairlines.com/my/en/home.html,2026-04-13 09:44:44
malaysia airlines customer service,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,false,true,false,false,,1500,10,0.19,894,0,1,,https://www.malaysiaairlines.com/my/en/askmh/contact-details.html,2026-04-24 16:00:47
mas airline,AU,Australia,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"People also ask, Thumbnail, Video preview",900,48,0.27,888,0,1,,https://www.malaysiaairlines.com/au/en/home.html,2026-04-12 22:36:43
nepal airlines vacancy,NP,Nepal,English,Nepal Airlines (Organization),true,false,false,true,false,false,Video preview,900,40,0.26,883,0,1,,https://www.malaysiaairlines.com/us/en/home.html,2026-03-18 07:43:30
malaysia airlines fleet,MY,Malaysia,English,Malaysia Airlines (Organization),true,false,false,true,false,false,"Thumbnail, Sitelinks, AI Overview, People also ask, Video preview",1200,8,0.27,873,0,1,,https://www.malaysiaairlines.com/us/en/experience/our-fleet.html,2026-04-12 14:13:57
maswing check in,MY,Malaysia,English,MASwings (Organization),true,false,true,false,false,true,"People also ask, Video preview",700,6,0.02,842,0,1,,https://www.malaysiaairlines.com/my/en/travel-info/check-in.html,2026-04-09 16:12:17
malaysian airlines australia,AU,Australia,English,"Malaysia Airlines (Organization), Australia (Location)",true,true,false,true,true,false,"Sitelinks, People also ask, Bottom ads, Paid sitelinks, Thumbnail, Video preview",1100,21,,834,221,1,,https://www.malaysiaairlines.com/au/en/home.html,2026-04-15 17:53:29
malaysian airlines manage booking,AU,Australia,English,Malaysian Airlines (Organization),true,false,true,false,false,true,"Top ads, Video preview, Bottom ads, Paid sitelinks",1200,0,,805,166,1,,https://www.malaysiaairlines.com/au/en/plan-trip/booking-and-services.html,2026-04-26 11:14:19
malaysia airlines manage booking,GB,United Kingdom,English,Malaysia Airlines (Organization),true,false,true,false,false,true,"Video preview, People also ask",700,3,0.03,802,0,1,,https://www.malaysiaairlines.com/hq/en/plan-trip/booking-and-services.html,2026-04-19 12:27:05
mh upgrade,MY,Malaysia,English,MHupgrade (Product),true,false,false,true,false,false,"Sitelinks, Video preview",900,0,1.00,791,0,1,,https://www.malaysiaairlines.com/my/en/other-offerings/mhupgrade.html,2026-03-30 17:59:15
malaysian airlines,FR,France,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Bottom ads, Paid sitelinks, Video preview, Thumbnail",1300,56,,780,313,1,,https://www.malaysiaairlines.com/fr/fr/home.html,2026-04-12 16:03:08
マレーシア航空 ビジネスクラス,JP,Japan,Japanese,Malaysia Airlines (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",800,0,0.32,780,58,2,,https://www.malaysiaairlines.com/jp/ja/plan-trip/cabin-classes.html,2026-04-23 19:38:33
馬來西亞航空,HK,Hong Kong,Chinese,Malaysia Airlines (Organization),true,false,true,true,false,false,"People also ask, Video preview",800,22,0.55,780,0,1,,https://www.malaysiaairlines.com/hk/zh_hk/home.html,2026-04-07 23:42:50
mh,VN,Vietnam,,,false,false,false,true,false,false,"AI Overview, Thumbnail, Video preview",2300,3,0.39,780,0,1,AI Overview,https://www.malaysiaairlines.com/vn/vi/home.html,2026-04-26 22:13:30
malaysian air,AU,Australia,English,Malaysia Airlines (Organization),true,false,false,true,true,false,"Sitelinks, People also ask, Thumbnail, Video preview",800,4,0.33,774,275,1,,https://www.malaysiaairlines.com/us/en/home.html,2026-04-21 17:03:32
malaysian airlines nz,NZ,New Zealand,English,"Malaysia Airlines (Organization), New Zealand (Location)",true,true,true,true,true,true,"Sitelinks, People also ask, Bottom ads, Paid sitelinks, Video preview",1000,0,,774,182,1,,https://www.malaysiaairlines.com/nz/en/home.html,2026-04-12 06:58:18
malaysia airlines,TW,Taiwan,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"People also ask, Thumbnail, Video preview",800,56,0.27,764,0,1,,https://www.malaysiaairlines.com/tw/zh_tw/home.html,2026-04-13 22:56:27
enrich malaysia airlines,MY,Malaysia,English,"Malaysia Airlines (Organization), Enrich (Product)",true,false,false,true,false,false,"Thumbnail, People also ask, Video preview",700,18,0.20,759,0,1,,https://www.malaysiaairlines.com/my/en/enrich-portal/summary.html,2026-04-19 01:53:53
말레이시아 항공,KR,South Korea,Korean,Malaysia Airlines (Organization),true,false,true,true,true,false,"Sitelinks, Bottom ads, Video preview, Thumbnail",1000,0,0.73,747,94,1,,https://www.malaysiaairlines.com/kr/ko/home.html,2026-04-10 03:33:47
enrich,AU,Australia,English,,false,false,false,true,false,false,"People also ask, Thumbnail, Video preview",1400,27,0.63,741,0,1,,https://www.malaysiaairlines.com/my/en/enrich-portal/summary.html,2026-04-10 18:26:27
malaysia airlines manage booking,BD,Bangladesh,English,Malaysia Airlines (Organization),true,false,true,false,false,true,People also ask,1100,0,0.01,736,0,1,,https://www.malaysiaairlines.com/my/en/plan-trip/booking-and-services.html,2026-04-05 08:09:51
malaysian airlines,TH,Thailand,English,Malaysia Airlines (Organization),true,false,true,true,true,true,"Sitelinks, People also ask, Video preview",800,43,,716,0,1,,https://www.malaysiaairlines.com/hq/en/home.html,2026-04-16 03:29:41
