Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current position kind,Current URL,Updated
sydney to hawaii cruise,AU,Australia,English,"Sydney (Location), Hawaii (Location)",false,true,false,true,true,false,"Thumbnail, People also ask",450,0,0.40,74,0,2,,https://www.cruise1st.com.au/hawaii-cruises-from-sydney,2026-04-19 04:20:54
cruise from brisbane to cairns,AU,Australia,English,"Brisbane (Location), Cairns (Location)",false,true,false,true,true,false,People also ask,150,0,0.32,73,0,1,,https://www.cruise1st.com.au/cruise-from-brisbane-to-cairns,2026-05-09 06:04:54
cruise to tasmania,AU,Australia,English,Tasmania (Location),false,true,false,true,true,false,"AI Overview, People also ask, Discussions and forums, Video preview",600,2,0.38,73,0,3,,https://www.cruise1st.com.au/destinations/tasmania,2026-05-08 06:14:34
cruise from sydney to brisbane,AU,Australia,English,"Sydney (Location), Brisbane (Location)",false,true,false,true,true,false,"AI Overview, People also ask",200,0,0.32,72,0,1,,https://www.cruise1st.com.au/cruise-from-sydney-to-brisbane,2026-04-19 01:59:53
cruise to tasmania from brisbane,AU,Australia,English,"Tasmania (Location), Brisbane (Location)",false,true,false,true,true,false,"AI Overview, People also ask",200,0,0.26,69,0,2,,https://www.cruise1st.com.au/tasmania-cruises-from-brisbane,2026-05-09 07:53:38
last minute cruise,AU,Australia,English,,false,false,false,true,true,true,"People also ask, Discussions and forums, Thumbnail, Video preview",600,4,0.43,69,0,5,,https://www.cruise1st.com.au/cruises/last-minute-cruises,2026-05-10 13:10:42
brisbane to brisbane cruises,AU,Australia,English,,false,true,false,true,true,false,AI Overview,200,0,0.46,69,0,1,,https://www.cruise1st.com.au/brisbane-to-brisbane-cruise,2026-05-09 18:04:44
cruises from melbourne,AU,Australia,English,Melbourne (Location),false,true,false,true,true,false,"People also ask, Thumbnail, Video preview",3800,0,0.23,69,0,10,,https://www.cruise1st.com.au/zones/last-minute-cruises-from-melbourne,2026-05-07 22:31:45
7 day cruise from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask, Bottom ads, Paid sitelinks, Video preview, Sitelinks",450,0,0.34,68,0,1,AI Overview,https://www.cruise1st.com.au/7-day-cruises-from-sydney,2026-04-25 01:58:31
cruise 1st.com.au,AU,Australia,English,,false,false,true,true,true,false,Sitelinks,150,0,,68,108,1,,https://www.cruise1st.com.au/,2026-04-25 21:39:17
cheap 3 day cruises from brisbane,AU,Australia,English,Brisbane (Location),false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask",150,1,0.36,67,0,1,AI Overview,https://www.cruise1st.com.au/short-cruises-from-brisbane,2026-04-10 09:12:56
canada cruise deals,AU,Australia,English,Canada (Location),false,false,false,true,true,false,,200,16,0.71,67,0,1,,https://www.cruise1st.com.au/destinations/canada,2026-04-10 12:51:02
cruises from sydney to fiji,AU,Australia,English,"Sydney (Location), Fiji (Location)",false,true,false,true,true,false,"AI Overview, People also ask",200,0,0.37,66,0,1,,https://www.cruise1st.com.au/sydney-to-fiji-cruises,2026-05-10 01:36:44
cruises to fiji from brisbane,AU,Australia,English,"Fiji (Location), Brisbane (Location)",false,true,false,true,true,false,"Thumbnail, People also ask",150,0,0.30,66,0,1,,https://www.cruise1st.com.au/brisbane-cruises-to-fiji,2026-04-26 13:02:47
south america cruises,AU,Australia,English,South America (Location),false,false,false,true,true,false,"Thumbnail, AI Overview, People also ask, Discussions and forums",450,0,0.62,66,0,2,,https://www.cruise1st.com.au/destinations/south-america,2026-04-19 22:01:45
cruises to the middle east,AU,Australia,English,Middle East (Location),false,false,false,true,true,false,"Top ads, Paid sitelinks, Thumbnail, People also ask, Discussions and forums",200,0,0.64,65,0,1,,https://www.cruise1st.com.au/destinations/middle-east,2026-05-04 21:35:02
cruise to vietnam from australia,AU,Australia,English,"Vietnam (Location), Australia (Location)",false,false,false,true,true,false,"AI Overview, Thumbnail, People also ask",200,0,0.43,65,0,1,AI Overview,https://www.cruise1st.com.au/destinations/vietnam,2026-04-26 13:52:52
sydney to sydney cruise,AU,Australia,English,Sydney to Sydney cruise (Event),false,true,false,true,true,false,"Top ads, Paid sitelinks, AI Overview, Thumbnail",200,4,0.46,64,0,1,,https://www.cruise1st.com.au/cruises-sydney-to-sydney,2026-05-05 05:29:52
3 day cruise,AU,Australia,English,,false,false,false,true,true,false,"Video preview, People also ask",600,2,0.32,63,0,4,,https://www.cruise1st.com.au/3-day-cruises-from-melbourne,2026-04-28 00:37:12
new zealand cruises,AU,Australia,English,New Zealand (Location),false,false,false,true,true,false,"AI Overview, People also ask, Discussions and forums, Video preview, Thumbnail",1000,3,0.42,63,0,7,,https://www.cruise1st.com.au/destinations/new-zealand,2026-05-05 17:32:08
3 day cruises from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,"Thumbnail, AI Overview, Discussions and forums, Video preview",600,0,0.35,63,0,5,,https://www.cruise1st.com.au/3-day-cruise-from-sydney,2026-04-26 07:22:00
cruise december,AU,Australia,English,,false,false,false,true,true,false,"Top ads, Thumbnail, Bottom ads, Paid sitelinks",150,8,0.40,63,0,1,,https://www.cruise1st.com.au/cruises/december-cruises,2026-05-03 11:19:27
cruise to new zealand,AU,Australia,English,New Zealand (Location),false,false,false,true,true,false,"People also ask, Video preview, Thumbnail",1300,2,0.38,63,0,5,People also ask,https://www.cruise1st.com.au/cruise-from-australia-to-new-zealand,2026-05-01 13:56:19
middle east cruise deals,AU,Australia,English,Middle East (Location),false,false,false,true,true,false,People also ask,150,0,,63,0,1,,https://www.cruise1st.com.au/destinations/middle-east,2026-04-14 05:07:24
2 night cruise from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,AI Overview,150,0,0.36,62,0,1,,https://www.cruise1st.com.au/2-night-cruises-from-sydney,2026-04-28 04:25:10
cruise to bali from australia,AU,Australia,English,"Bali (Location), Australia (Location)",false,false,false,true,true,false,"Top ads, Paid sitelinks, AI Overview, Thumbnail, People also ask, Bottom ads",150,0,0.42,61,0,1,AI Overview,https://www.cruise1st.com.au/destinations/bali,2026-04-17 21:49:39
cruises to tasmania from brisbane,AU,Australia,English,"Tasmania (Location), Brisbane (Location)",false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask, Discussions and forums",200,0,0.21,60,0,1,AI Overview,https://www.cruise1st.com.au/tasmania-cruises-from-brisbane,2026-05-10 04:01:36
last minute cruises from brisbane,AU,Australia,English,Brisbane (Location),false,true,false,true,true,true,Thumbnail,450,3,0.32,59,0,5,,https://www.cruise1st.com.au/last-minute-cruises-from-brisbane,2026-05-03 19:14:56
cruise sydney to brisbane,AU,Australia,English,,false,true,false,true,true,false,"AI Overview, People also ask, Thumbnail, Bottom ads, Paid sitelinks",200,0,0.31,59,0,1,,https://www.cruise1st.com.au/cruise-from-sydney-to-brisbane,2026-04-24 23:27:37
cruises from brisbane 2025,AU,Australia,English,Brisbane (Location),false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask",2400,1,0.35,59,0,1,AI Overview,https://www.cruise1st.com.au/cruises/cruises-from-brisbane,2026-05-07 10:56:46
last minute cruise cancellation deals,AU,Australia,English,,false,false,false,true,true,true,"AI Overview, Thumbnail, Sitelinks",600,6,0.25,59,0,5,,https://www.cruise1st.com.au/cruises/last-minute-cruises,2026-05-05 23:33:29
cruise to india from australia,AU,Australia,English,"India (Location), Australia (Location)",false,false,false,true,true,false,"AI Overview, Thumbnail, People also ask, Bottom ads",150,0,0.36,57,0,1,,https://www.cruise1st.com.au/destinations/india,2026-04-28 05:33:41
last minute cruise deals,AU,Australia,English,,false,false,false,true,true,true,"People also ask, Bottom ads, Thumbnail",1300,4,0.36,57,0,7,,https://www.cruise1st.com.au/cruises/last-minute-cruises,2026-05-04 13:24:55
last minute cruises australia,AU,Australia,English,Australia (Location),false,true,false,true,true,true,People also ask,500,2,0.40,57,0,5,,https://www.cruise1st.com.au/cruises/last-minute-cruises,2026-05-06 19:48:54
all inclusive cruises from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask",150,29,0.57,57,0,1,AI Overview,https://www.cruise1st.com.au/all-inclusive-cruises-from-sydney,2026-05-02 13:29:33
new zealand cruises from brisbane,AU,Australia,English,"New Zealand (Location), Brisbane (Location)",false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask",350,0,0.33,57,0,3,,https://www.cruise1st.com.au/new-zealand-cruises-from-brisbane,2026-04-14 00:52:02
hong kong cruise,AU,Australia,English,Hong Kong (Location),false,true,false,true,true,false,"People also ask, Knowledge panel, Discussions and forums",150,0,0.51,56,0,1,,https://www.cruise1st.com.au/destinations/hong-kong,2026-05-08 06:05:38
brisbane to tasmania cruise,AU,Australia,English,"Brisbane (Location), Tasmania (Location)",false,true,false,true,true,false,People also ask,150,0,0.34,56,0,1,,https://www.cruise1st.com.au/tasmania-cruises-from-brisbane,2026-04-10 01:41:28
cruise to cook islands from australia,AU,Australia,English,Cook Islands (Location),false,false,false,true,true,false,"AI Overview, Thumbnail, People also ask",150,0,0.50,56,0,1,AI Overview,https://www.cruise1st.com.au/cruises/cook-islands,2026-04-18 02:26:47
sydney to tasmania cruise,AU,Australia,English,,false,true,false,true,true,false,"People also ask, Thumbnail, Video preview",600,0,0.36,55,0,4,,https://www.cruise1st.com.au/tasmania-cruises-from-sydney,2026-04-26 09:49:22
cruise sydney to brisbane one way,AU,Australia,English,,false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask",150,0,0.46,54,0,1,AI Overview,https://www.cruise1st.com.au/cruise-from-sydney-to-brisbane,2026-04-18 14:57:31
christmas cruises from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,"AI Overview, People also ask, Thumbnail",900,0,0.32,53,0,8,,https://www.cruise1st.com.au/cruises/christmas-new-year-cruises,2026-05-03 14:14:02
2 day cruise sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,AI Overview,150,2,0.45,53,0,1,,https://www.cruise1st.com.au/2-night-cruises-from-sydney,2026-04-22 20:06:14
cruises to vietnam,AU,Australia,English,,false,false,false,true,true,false,"People also ask, AI Overview, Discussions and forums",150,0,0.68,52,0,1,,https://www.cruise1st.com.au/destinations/vietnam,2026-05-05 06:17:19
cheap last minute cruises,AU,Australia,English,,false,false,false,true,true,true,,200,6,0.37,52,0,3,,https://www.cruise1st.com.au/cruises/last-minute-cruises,2026-04-13 03:00:28
panama canal cruise deals,AU,Australia,English,Panama Canal (Location),false,false,false,true,true,true,"Thumbnail, People also ask",200,0,,52,0,1,,https://www.cruise1st.com.au/destinations/caribbean/panama-canal,2026-04-28 12:53:12
new zealand cruise packages,AU,Australia,English,New Zealand (Location),false,false,false,true,true,false,People also ask,350,7,0.49,52,0,2,,https://www.cruise1st.com.au/destinations/new-zealand,2026-05-07 23:23:41
cruises in november,AU,Australia,English,,false,false,false,true,true,false,"Thumbnail, AI Overview",150,9,0.45,51,0,1,,https://www.cruise1st.com.au/cruises/november-cruises,2026-05-07 01:29:07
cruise new zealand,AU,Australia,English,New Zealand (Location),false,false,false,true,true,false,"Thumbnail, People also ask, AI Overview, Discussions and forums, Video preview",600,2,0.49,51,0,7,,https://www.cruise1st.com.au/destinations/new-zealand,2026-04-26 19:31:05
tasmania cruise from brisbane,AU,Australia,English,Brisbane (Location),false,true,false,true,true,false,People also ask,150,0,,50,0,1,,https://www.cruise1st.com.au/tasmania-cruises-from-brisbane,2026-04-17 13:14:02
cruise and flight packages,AU,Australia,English,,false,false,false,true,true,false,"Bottom ads, Paid sitelinks",150,6,0.78,50,0,1,,https://www.cruise1st.com.au/fly-cruises,2026-05-03 08:17:28
brisbane to hawaii cruise,AU,Australia,English,"Brisbane (Location), Hawaii (Location)",false,true,false,true,true,false,"AI Overview, Thumbnail, Top ads, Paid sitelinks, People also ask, Bottom ads",200,0,0.28,50,0,1,AI Overview,https://www.cruise1st.com.au/hawaii-cruises-from-brisbane,2026-04-09 11:15:02
relocation cruises,AU,Australia,English,,false,false,false,true,false,false,"People also ask, Thumbnail",250,2,0.24,50,0,2,,https://www.cruise1st.com.au/destinations/repositioning,2026-04-10 10:33:21
cruise malaysia,AU,Australia,English,Malaysia (Location),false,false,false,true,true,false,"AI Overview, Thumbnail",150,0,0.46,50,0,2,,https://www.cruise1st.com.au/cruises/malaysia,2026-04-20 23:19:32
repositioning cruise singapore to sydney,AU,Australia,English,,false,true,false,true,true,false,"AI Overview, Thumbnail, Video preview, People also ask",150,0,0.33,50,0,1,AI Overview,https://www.cruise1st.com.au/singapore-to-sydney-cruises,2026-04-13 10:50:34
best 3 day cruise from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask, Discussions and forums",400,1,0.24,49,0,1,AI Overview,https://www.cruise1st.com.au/short-cruises-from-sydney,2026-04-17 23:26:39
solomon islands cruise,AU,Australia,English,Solomon Islands (Location),false,false,false,true,true,false,People also ask,150,0,0.38,49,0,1,,https://www.cruise1st.com.au/cruises/solomon-islands,2026-05-01 12:16:43
philippines cruise,AU,Australia,English,Philippines (Location),false,false,false,true,true,false,"Thumbnail, People also ask",150,0,0.35,48,0,1,,https://www.cruise1st.com.au/cruises/philippines,2026-04-22 15:46:22
cruise from fremantle,AU,Australia,English,Fremantle (Location),false,true,false,true,true,false,"AI Overview, Discussions and forums",450,1,0.09,47,0,6,,https://www.cruise1st.com.au/cruise-fremantle-to-singapore,2026-05-03 20:19:12
best cruise deals 2023,AU,Australia,English,,false,false,false,true,true,false,"People also ask, Sitelinks",150,44,0.51,45,0,1,,https://www.cruise1st.com.au/cruises/exclusive-cruise-deals,2026-04-28 22:02:17
repositioning cruises from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,"AI Overview, People also ask, Sitelinks",100,0,0.28,45,0,1,,https://www.cruise1st.com.au/repositioning-cruises-from-sydney,2026-04-24 02:39:29
2026 cruises from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,Thumbnail,500,4,0.41,45,0,4,,https://www.cruise1st.com.au/2026-cruises-from-sydney,2026-04-16 05:52:06
cruise philippines,AU,Australia,English,Philippines (Location),false,false,false,true,true,false,"AI Overview, Thumbnail, Top ads, Paid sitelinks, People also ask, Bottom ads",100,0,0.39,45,0,2,,https://www.cruise1st.com.au/cruises/philippines,2026-04-23 19:45:28
cruise to hawaii from brisbane,AU,Australia,English,"Hawaii (Location), Brisbane (Location)",false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask",100,0,0.35,45,0,1,AI Overview,https://www.cruise1st.com.au/hawaii-cruises-from-brisbane,2026-05-09 23:28:47
discount cruises,AU,Australia,English,,false,false,false,true,true,false,"People also ask, Discussions and forums",250,30,0.50,44,0,3,,https://www.cruise1st.com.au/discount-cruises,2026-05-02 05:13:52
short cruise,AU,Australia,English,,false,false,false,true,true,true,Thumbnail,250,2,0.28,44,0,2,,https://www.cruise1st.com.au/cruises/short-cruises,2026-04-25 14:07:36
transpacific cruise,AU,Australia,English,,false,false,false,true,true,false,"Thumbnail, Video preview, Sitelinks, People also ask",300,0,0.42,44,0,2,,https://www.cruise1st.com.au/destinations/transpacific,2026-04-11 07:11:33
cruises from brisbane to new zealand 2024,AU,Australia,English,"Brisbane (Location), New Zealand (Location)",false,true,false,true,true,false,"Sitelinks, People also ask, Bottom ads, Paid sitelinks",100,8,0.46,44,0,1,,https://www.cruise1st.com.au/new-zealand-cruises-from-brisbane,2026-04-20 16:00:29
cruises 2025,AU,Australia,English,,false,false,false,true,true,false,"AI Overview, Thumbnail, Video preview",2200,52,0.39,44,0,12,,https://www.cruise1st.com.au/,2026-05-06 09:01:10
cruises from brisbane to cairns,AU,Australia,English,"Brisbane (Location), Cairns (Location)",false,true,false,true,true,false,"AI Overview, Thumbnail, People also ask",100,0,0.31,43,0,1,AI Overview,https://www.cruise1st.com.au/cruise-from-brisbane-to-cairns,2026-05-09 18:47:42
malaysia cruise,AU,Australia,English,Malaysia (Location),false,false,false,true,true,false,"AI Overview, Thumbnail, People also ask",100,0,0.46,42,0,1,AI Overview,https://www.cruise1st.com.au/cruises/malaysia,2026-04-23 14:50:52
cruise to new zealand from brisbane,AU,Australia,English,"New Zealand (Location), Brisbane (Location)",false,true,false,true,true,false,"AI Overview, People also ask",250,0,0.33,42,0,4,,https://www.cruise1st.com.au/new-zealand-cruises-from-brisbane,2026-05-01 22:58:15
cruise to fiji from sydney,AU,Australia,English,"Fiji (Location), Sydney (Location)",false,true,false,true,true,false,"AI Overview, People also ask",250,0,0.30,42,0,2,,https://www.cruise1st.com.au/sydney-to-fiji-cruises,2026-05-03 09:12:17
cruise 2026,AU,Australia,English,,false,false,false,true,true,false,"Sitelinks, People also ask, Video preview, Thumbnail",1400,36,0.43,42,0,9,,https://www.cruise1st.com.au/,2026-05-06 03:54:44
baltic cruises,AU,Australia,English,Baltic (Location),false,false,false,true,true,false,"AI Overview, Thumbnail, People also ask, Discussions and forums",300,1,0.79,41,0,4,,https://www.cruise1st.com.au/destinations/baltics,2026-04-27 20:18:44
last minute cruise cancellation deals from sydney,AU,Australia,English,Sydney (Location),false,true,false,true,true,true,"AI Overview, Thumbnail, Top ads, Paid sitelinks, People also ask, Bottom ads",250,2,0.38,40,0,1,AI Overview,https://www.cruise1st.com.au/last-minute-cruises-from-sydney,2026-04-18 12:18:21
vancouver to alaska cruise price,AU,Australia,English,,false,true,false,true,true,false,"AI Overview, People also ask",100,0,0.75,40,0,2,,https://www.cruise1st.com.au/vancouver-to-alaska-cruises,2026-05-03 08:06:03
3 day cruise from brisbane,AU,Australia,English,Brisbane (Location),false,true,false,true,true,false,,300,1,0.37,39,0,4,,https://www.cruise1st.com.au/short-cruises-from-brisbane,2026-04-11 20:31:06
cruise sydney to tasmania,AU,Australia,English,,false,true,false,true,true,false,,250,0,0.36,39,0,5,,https://www.cruise1st.com.au/tasmania-cruises-from-sydney,2026-04-12 14:42:39
sydney to bali cruise,AU,Australia,English,,false,true,false,true,true,false,"AI Overview, People also ask",200,0,0.38,39,0,3,,https://www.cruise1st.com.au/bali-cruises-from-sydney,2026-05-07 12:15:11
red sea cruise,AU,Australia,English,Red Sea (Location),false,false,false,true,true,false,People also ask,100,0,0.51,39,0,1,,https://www.cruise1st.com.au/cruises/red-sea,2026-04-13 17:43:27
baltic cruise deals,AU,Australia,English,Baltic (Location),false,false,false,true,true,false,"Top ads, People also ask, Thumbnail",200,0,,39,0,1,,https://www.cruise1st.com.au/destinations/baltics,2026-05-10 21:14:06
cruises from sydney 2024,AU,Australia,English,Sydney (Location),false,true,false,true,true,false,"AI Overview, People also ask, Video preview",2400,5,0.31,38,0,13,,https://www.cruise1st.com.au/cruises/cruises-from-sydney,2026-05-08 16:34:38
short cruises from brisbane,AU,Australia,English,Brisbane (Location),false,true,false,true,true,false,"Top ads, AI Overview, Thumbnail, Video preview",800,0,0.27,38,0,5,,https://www.cruise1st.com.au/short-cruises-from-brisbane,2026-04-29 12:49:10
cruise vietnam,AU,Australia,English,Vietnam (Location),false,false,false,true,true,false,"AI Overview, Video preview, Thumbnail, People also ask",250,0,0.63,38,0,1,AI Overview,https://www.cruise1st.com.au/destinations/vietnam,2026-04-23 15:32:35
last minute cruises from adelaide,AU,Australia,English,Adelaide (Location),false,true,false,true,true,true,"AI Overview, Thumbnail, People also ask",350,0,0.14,38,0,5,,https://www.cruise1st.com.au/zones/last-minute-cruises-from-adelaide,2026-04-13 01:45:24
